# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
lithium;60;1682722895;lo;661.10;661.10;335.81;335.81;0.00;0.00;0.00;0.00
lithium;60;1682722895;enp1s0;1793.88;2492.32;375.78;793.25;0.00;0.00;0.00;0.00
lithium;60;1682722955;lo;684.47;684.47;348.84;348.84;0.00;0.00;0.00;0.00
lithium;60;1682722955;enp1s0;1994.93;2709.77;416.44;878.26;0.00;0.00;0.00;0.00
lithium;60;1682723015;lo;686.92;686.92;356.22;356.22;0.00;0.00;0.00;0.00
lithium;60;1682723015;enp1s0;2141.07;2846.12;448.15;939.17;0.00;0.00;0.00;0.00
lithium;60;1682723075;lo;716.57;716.57;367.93;367.93;0.00;0.00;0.00;0.00
lithium;60;1682723075;enp1s0;2271.88;3036.77;474.79;998.59;0.00;0.00;0.00;0.00
lithium;60;1682723135;lo;672.07;672.07;343.07;343.07;0.00;0.00;0.00;0.00
lithium;60;1682723135;enp1s0;1984.02;2681.82;416.02;874.05;0.00;0.00;0.00;0.00
lithium;60;1682723195;lo;687.43;687.43;350.89;350.89;0.00;0.00;0.00;0.00
lithium;60;1682723195;enp1s0;2075.07;2796.78;435.94;914.59;0.00;0.00;0.00;0.00
lithium;60;1682723255;lo;674.03;674.03;344.30;344.30;0.00;0.00;0.00;0.00
lithium;60;1682723255;enp1s0;1961.32;2661.07;411.10;867.09;0.00;0.00;0.00;0.00
