ctime,relid,schemaname,relname,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1682725183.370635,2619,pg_catalog,pg_statistic,3666,213016,1068,425055,4497,79930,461,51502,2619,pg_catalog,pg_statistic,0,0,212016,212016,0,3089,0,3058,0,68,3089,0,,,,,0,0,0,0
1682725183.370635,22519,public,orders,21635972,6973757,2620659,18034215,,,,,22519,public,orders,0,0,1886389,21965434,1931024,1714540,0,1381948,12616159,384238,183498,1931024,,,,2023-04-28 16:19:16.393377-07,0,0,0,3
1682725183.370635,4155,pg_toast,pg_toast_3394,0,0,0,0,,,,,4155,pg_toast,pg_toast_3394,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,3541,pg_catalog,pg_range,0,0,48,48,,,,,3541,pg_catalog,pg_range,0,0,48,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,14607,information_schema,sql_parts,0,0,,,0,0,0,0,14607,information_schema,sql_parts,0,0,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,3602,pg_catalog,pg_ts_config,0,0,0,0,,,,,3602,pg_catalog,pg_ts_config,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,3381,pg_catalog,pg_statistic_ext,0,0,335,98099,0,0,0,0,3381,pg_catalog,pg_statistic_ext,0,0,49217,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,4175,pg_toast,pg_toast_1260,0,0,0,0,,,,,4175,pg_toast,pg_toast_1260,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,6106,pg_catalog,pg_publication_rel,0,0,0,0,,,,,6106,pg_catalog,pg_publication_rel,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,2605,pg_catalog,pg_cast,446,43971,429,201440,,,,,2605,pg_catalog,pg_cast,0,0,200029,44417,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,4183,pg_toast,pg_toast_6100,0,0,0,0,,,,,4183,pg_toast,pg_toast_6100,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,4171,pg_toast,pg_toast_1247,0,0,0,0,,,,,4171,pg_toast,pg_toast_1247,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,2224,pg_catalog,pg_sequence,0,0,0,0,,,,,2224,pg_catalog,pg_sequence,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,2611,pg_catalog,pg_inherits,0,0,0,0,,,,,2611,pg_catalog,pg_inherits,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,2830,pg_toast,pg_toast_2604,0,0,0,0,,,,,2830,pg_toast,pg_toast_2604,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,1417,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,1262,pg_catalog,pg_database,185,12685,1468,16451,0,0,0,0,1262,pg_catalog,pg_database,1469,5870,11401,11401,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,3430,pg_toast,pg_toast_3429,0,0,0,0,,,,,3430,pg_toast,pg_toast_3429,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,3501,pg_catalog,pg_enum,0,0,0,0,,,,,3501,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,2607,pg_catalog,pg_conversion,0,0,0,0,,,,,2607,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,22505,public,district,50218,17220637,419,11813417,,,,,22505,public,district,0,0,5879568,5879568,0,3777026,0,3766760,1000,0,0,0,,2023-04-28 16:38:15.120065-07,,2023-04-28 16:38:15.175952-07,0,127,0,127
1682725183.370635,3576,pg_catalog,pg_transform,0,0,0,0,,,,,3576,pg_catalog,pg_transform,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
1682725183.370635,826,pg_catalog,pg_default_acl,0,0,0,0,0,0,0,0,826,pg_catalog,pg_default_acl,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
