ctime,relid,schemaname,relname,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit,relid,schemaname,relname,seq_scan,last_seq_scan,seq_tup_read,idx_scan,last_idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_tup_newpage_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1707240366.003617,1259,pg_catalog,pg_class,1627,1575373,576,553981,,,,,1259,pg_catalog,pg_class,89554,2024-02-06 11:26:05.956435-06,32608077,250189,2024-02-06 11:26:06.005689-06,231991,454,176,0,86,89,521,50,0,44,2024-01-16 18:19:07.027424-06,2024-01-23 13:09:30.811352-06,2024-01-16 18:19:07.039059-06,2024-01-16 17:23:31.531495-06,1,2,1,1
1707240366.003617,2604,pg_catalog,pg_attrdef,0,0,4,6,0,0,1,0,2604,pg_catalog,pg_attrdef,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.578525-06,,2024-01-16 18:19:09.588625-06,,1,0,1,0
1707240366.003617,2606,pg_catalog,pg_constraint,142,31920,244,38285,0,0,1,0,2606,pg_catalog,pg_constraint,4,2024-01-23 13:41:08.712638-06,832,19941,2024-02-06 09:39:03.703202-06,48903,96,0,0,0,0,208,0,0,0,2024-01-16 18:19:07.357706-06,,2024-01-16 18:19:07.384249-06,2024-01-16 17:37:58.330927-06,1,0,1,1
1707240366.003617,2611,pg_catalog,pg_inherits,0,0,4,14,,,,,2611,pg_catalog,pg_inherits,8,2024-01-23 13:41:08.712638-06,0,0,,0,0,0,0,0,0,0,0,0,0,2024-01-16 18:19:09.542919-06,,2024-01-16 18:19:09.543076-06,,1,0,1,0
1707240366.003617,2610,pg_catalog,pg_index,305,131821,380,180551,,,,,2610,pg_catalog,pg_index,154,2024-02-06 11:26:05.936702-06,7889,131876,2024-02-06 11:26:06.005689-06,142275,125,0,0,0,0,222,67,0,67,2024-01-16 18:19:07.556024-06,,2024-01-16 18:19:07.560136-06,,1,0,1,0
1707240366.003617,2617,pg_catalog,pg_operator,342,490336,306,164575,,,,,2617,pg_catalog,pg_operator,0,,0,67909,2024-02-06 11:26:06.002443-06,709761,0,0,0,0,0,799,0,0,0,2024-01-16 18:19:07.009226-06,,2024-01-16 18:19:07.020654-06,,1,0,1,0
1707240366.003617,2753,pg_catalog,pg_opfamily,6,6,2,0,,,,,2753,pg_catalog,pg_opfamily,0,,0,0,,0,0,0,0,0,0,146,0,0,0,2024-01-16 18:19:08.236379-06,,2024-01-16 18:19:08.237053-06,,1,0,1,0
1707240366.003617,2616,pg_catalog,pg_opclass,179,296449,378,140079,,,,,2616,pg_catalog,pg_opclass,34,2024-01-23 13:13:05.191426-06,34,96522,2024-02-06 11:26:06.005689-06,656510,0,0,0,0,0,177,0,0,0,2024-01-16 18:19:07.778466-06,,2024-01-16 18:19:07.779431-06,,1,0,1,0
1707240366.003617,2601,pg_catalog,pg_am,147,49963,5,9,,,,,2601,pg_catalog,pg_am,50093,2024-02-06 11:26:06.005689-06,50093,8,2024-01-23 13:41:08.712638-06,8,0,0,0,0,0,7,0,0,0,2024-01-16 18:19:09.493536-06,,2024-01-16 18:19:09.493735-06,,1,0,1,0
1707240366.003617,2602,pg_catalog,pg_amop,243,132953,327,144856,,,,,2602,pg_catalog,pg_amop,0,,0,62854,2024-02-06 11:26:06.002443-06,151377,0,0,0,0,0,945,0,0,0,2024-01-16 18:19:07.149461-06,,2024-01-16 18:19:07.211301-06,,1,0,1,0
1707240366.003617,2603,pg_catalog,pg_amproc,165,79940,429,199349,,,,,2603,pg_catalog,pg_amproc,34,2024-01-23 13:13:05.191426-06,119,79933,2024-02-06 11:26:06.005689-06,239492,0,0,0,0,0,696,0,0,0,2024-01-16 18:19:07.460341-06,,2024-01-16 18:19:07.466506-06,,1,0,1,0
