ctime,datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
1707240786.597503,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240786.597503,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240786.597503,24576,dbt5,16,85733,9617,445863963,327804597,32690947995,258589789,585548162,19907,3473,0,55,22081282048,0,,,0,0,152544383.439,85254313.229,21597.887,10207,27,4,0,
1707240846.314283,0,,0,0,0,1069,1911673,559103,427767,2,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240846.314283,5,postgres,0,59535,0,4837,2176736,26223357,421111,0,0,0,0,0,0,0,,,0,0,12326.317,8005.233,0,6,0,0,0,
1707240846.314283,30444,dbt7,0,82377,10,46416880,2160050983,13118377979,1572592801,36950451,6241,1412596,0,929,37259597158,0,,,0,0,257429303.311,256859724.848,0,1672,0,0,0,
1707240846.314283,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240846.314283,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240846.314283,24576,dbt5,14,85831,9617,448283256,328587405,32865159142,259062250,585548218,20020,3483,0,55,22081282048,0,,,0,0,152937033.471,85408459.978,21694.13,10224,27,4,0,
1707240906.246657,0,,0,0,0,1069,1911860,559182,427811,2,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240906.246657,5,postgres,0,59537,0,4837,2176809,26224238,421125,0,0,0,0,0,0,0,,,0,0,12326.317,8005.233,0,6,0,0,0,
1707240906.246657,30444,dbt7,0,82379,10,46416880,2160051065,13118379124,1572592815,36950451,6241,1412596,0,929,37259597158,0,,,0,0,257429303.311,256859724.848,0,1672,0,0,0,
1707240906.246657,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240906.246657,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240906.246657,24576,dbt5,8,85876,9617,449543718,329157707,32952888940,259518120,585548234,20051,3485,0,55,22081282048,0,,,0,0,153250347.381,85539925.772,21704.16,10229,27,4,0,
1707240966.292678,0,,0,0,0,1069,1912359,559332,427926,2,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240966.292678,5,postgres,0,59539,0,4837,2176882,26225119,421139,0,0,0,0,0,0,0,,,0,0,12326.317,8005.233,0,6,0,0,0,
1707240966.292678,30444,dbt7,0,82381,10,46416880,2160051147,13118380269,1572592829,36950451,6241,1412596,0,929,37259597158,0,,,0,0,257429303.311,256859724.848,0,1672,0,0,0,
1707240966.292678,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240966.292678,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707240966.292678,24576,dbt5,9,85977,9617,449597267,329976186,32955299441,260351595,585548264,20128,3489,0,55,22081282048,0,,,0,0,153354228.55,85600015.834,21731.138,10247,27,4,0,
1707241026.442463,0,,0,0,0,1069,1913091,559557,428096,2,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1707241026.442463,5,postgres,0,59541,0,4837,2176955,26226000,421153,0,0,0,0,0,0,0,,,0,0,12326.317,8005.233,0,6,0,0,0,
