ctime,name,blks_zeroed,blks_hit,blks_read,blks_written,blks_exists,flushes,truncates,stats_reset
1707241206.488088,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241266.622452,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241266.622452,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241266.622452,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241266.622452,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241266.622452,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241266.622452,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241266.622452,Xact,0,99384,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707241266.622452,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241326.604678,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241326.604678,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241326.604678,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241326.604678,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241326.604678,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241326.604678,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241326.604678,Xact,0,99447,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707241326.604678,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241386.580234,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241386.580234,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241386.580234,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241386.580234,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241386.580234,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241386.580234,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241386.580234,Xact,0,99542,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707241386.580234,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241446.630645,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241446.630645,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241446.630645,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241446.630645,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241446.630645,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241446.630645,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241446.630645,Xact,0,99569,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707241446.630645,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241506.675631,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241506.675631,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241506.675631,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241506.675631,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241506.675631,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241506.675631,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241506.675631,Xact,0,99576,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707241506.675631,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241566.968963,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241566.968963,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241566.968963,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241566.968963,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241566.968963,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241566.968963,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241566.968963,Xact,0,99625,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707241566.968963,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241626.878640,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241626.878640,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241626.878640,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241626.878640,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241626.878640,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241626.878640,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241626.878640,Xact,0,99633,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707241626.878640,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241686.801601,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241686.801601,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241686.801601,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241686.801601,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241686.801601,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241686.801601,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241686.801601,Xact,0,99701,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707241686.801601,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241746.818573,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241746.818573,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241746.818573,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241746.818573,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241746.818573,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241746.818573,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241746.818573,Xact,0,99761,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707241746.818573,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241806.834088,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241806.834088,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241806.834088,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241806.834088,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241806.834088,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241806.834088,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241806.834088,Xact,0,99799,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707241806.834088,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241866.859680,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241866.859680,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241866.859680,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241866.859680,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241866.859680,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241866.859680,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241866.859680,Xact,0,99819,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707241866.859680,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241926.930891,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241926.930891,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241926.930891,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241926.930891,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241926.930891,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241926.930891,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241926.930891,Xact,0,99914,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707241926.930891,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241986.951799,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707241986.951799,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707241986.951799,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707241986.951799,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241986.951799,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707241986.951799,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707241986.951799,Xact,0,99927,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707241986.951799,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242046.991699,CommitTs,0,0,0,0,0,54,0,2024-01-16 15:04:47.848815-06
1707242046.991699,MultiXactMember,1,3,2,3,0,56,0,2024-01-16 15:04:47.848815-06
1707242046.991699,MultiXactOffset,1,6,4,6,2,56,0,2024-01-16 15:04:47.848815-06
1707242046.991699,Notify,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242046.991699,Serial,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
1707242046.991699,Subtrans,10,0,0,7,0,54,53,2024-01-16 15:04:47.848815-06
1707242046.991699,Xact,0,99939,4,52,0,54,0,2024-01-16 15:04:47.848815-06
1707242046.991699,other,0,0,0,0,0,0,0,2024-01-16 15:04:47.848815-06
