ctime,relid,indexrelid,schemaname,relname,indexrelname,idx_scan,last_idx_scan,idx_tup_read,idx_tup_fetch,relid,indexrelid,schemaname,relname,indexrelname,idx_blks_read,idx_blks_hit
1707240366.013610,2620,2701,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,16159,2024-02-06 09:39:03.703202-06,122570,122524,2620,2701,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,179,41967
1707240366.013610,3466,3467,pg_catalog,pg_event_trigger,pg_event_trigger_evtname_index,318,2024-01-23 13:23:45.104445-06,0,0,3466,3467,pg_catalog,pg_event_trigger,pg_event_trigger_evtname_index,2,317
1707240366.013610,2605,2661,pg_catalog,pg_cast,pg_cast_source_target_index,635716,2024-02-06 11:26:06.01874-06,103657,103657,2605,2661,pg_catalog,pg_cast,pg_cast_source_target_index,82,645661
1707240366.013610,2611,2680,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,0,,0,0,2611,2680,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,2,7
1707240366.013610,2610,2679,pg_catalog,pg_index,pg_index_indexrelid_index,101324,2024-02-06 11:26:06.017353-06,101391,101248,2610,2679,pg_catalog,pg_index,pg_index_indexrelid_index,291,141081
1707240366.013610,2617,2688,pg_catalog,pg_operator,pg_operator_oid_index,25067,2024-02-06 11:26:06.017353-06,25067,25067,2617,2688,pg_catalog,pg_operator,pg_operator_oid_index,172,59870
1707240366.013610,2753,2755,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,,0,0,2753,2755,pg_catalog,pg_opfamily,pg_opfamily_oid_index,1,0
1707240366.013610,2616,2687,pg_catalog,pg_opclass,pg_opclass_oid_index,83060,2024-02-06 11:26:06.017353-06,83060,83060,2616,2687,pg_catalog,pg_opclass,pg_opclass_oid_index,292,122680
1707240366.013610,2601,2652,pg_catalog,pg_am,pg_am_oid_index,8,2024-01-23 13:41:08.712638-06,12,8,2601,2652,pg_catalog,pg_am,pg_am_oid_index,3,8
1707240366.013610,2602,2756,pg_catalog,pg_amop,pg_amop_oid_index,0,,0,0,2602,2756,pg_catalog,pg_amop,pg_amop_oid_index,1,0
1707240366.013610,2603,2757,pg_catalog,pg_amproc,pg_amproc_oid_index,0,,0,0,2603,2757,pg_catalog,pg_amproc,pg_amproc_oid_index,1,0
1707240366.013610,2612,2682,pg_catalog,pg_language,pg_language_oid_index,81,2024-02-06 09:29:20.968759-06,81,81,2612,2682,pg_catalog,pg_language,pg_language_oid_index,32,131
1707240366.013610,2995,2996,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,,0,0,2995,2996,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,1,0
1707240366.013610,2613,2683,pg_catalog,pg_largeobject,pg_largeobject_loid_pn_index,0,,0,0,2613,2683,pg_catalog,pg_largeobject,pg_largeobject_loid_pn_index,1,0
1707240366.013610,2600,2650,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,1035,2024-02-06 11:26:06.011751-06,1035,1035,2600,2650,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,46,2011
1707240366.013610,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,53598,2024-02-06 11:26:06.017353-06,52577,52539,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,118,118773
1707240366.013610,3381,3380,pg_catalog,pg_statistic_ext,pg_statistic_ext_oid_index,0,,0,0,3381,3380,pg_catalog,pg_statistic_ext,pg_statistic_ext_oid_index,2,3
1707240366.013610,3429,3433,pg_catalog,pg_statistic_ext_data,pg_statistic_ext_data_stxoid_inh_index,0,,0,0,3429,3433,pg_catalog,pg_statistic_ext_data,pg_statistic_ext_data_stxoid_inh_index,1,0
1707240366.013610,2618,2692,pg_catalog,pg_rewrite,pg_rewrite_oid_index,0,,0,0,2618,2692,pg_catalog,pg_rewrite,pg_rewrite_oid_index,1,0
1707240366.013610,2620,2702,pg_catalog,pg_trigger,pg_trigger_oid_index,196,2024-01-16 18:03:12.560241-06,0,0,2620,2702,pg_catalog,pg_trigger,pg_trigger_oid_index,10,437
1707240366.013610,3466,3468,pg_catalog,pg_event_trigger,pg_event_trigger_oid_index,0,,0,0,3466,3468,pg_catalog,pg_event_trigger,pg_event_trigger_oid_index,1,0
