ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1653668461.992623,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_index,pg_index_indexrelid_index,86331,86410,85977,1857,96587
1653668461.992623,pg_catalog,pg_index,pg_index_indrelid_index,18772,51717,51381,1981,22908
1653668461.992623,pg_catalog,pg_operator,pg_operator_oid_index,26048,26048,26048,3489,54624
1653668461.992623,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,19049,184234,184234,4318,39463
1653668461.992623,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_opclass,pg_opclass_oid_index,48038,48038,48038,1955,57434
1653668461.992623,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,15331,656638,656638,1498,17380
1653668461.992623,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_amop,pg_amop_opr_fam_index,33301,114953,114953,4267,69758
1653668461.992623,pg_catalog,pg_amop,pg_amop_fam_strat_index,36797,36797,36797,2272,74507
1653668461.992623,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,49888,124582,124582,3675,107457
1653668461.992623,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,4660,4660,4660,1559,6817
1653668461.992623,pg_catalog,pg_statistic_ext,pg_statistic_ext_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_statistic_ext,pg_statistic_ext_relid_index,11359,0,0,832,21886
1653668461.992623,pg_catalog,pg_statistic_ext,pg_statistic_ext_name_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_rewrite,pg_rewrite_oid_index,283,188,188,172,303
1653668461.992623,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,1622,1611,1517,331,2479
1653668461.992623,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_event_trigger,pg_event_trigger_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_event_trigger,pg_event_trigger_evtname_index,978,0,0,120,858
1653668461.992623,pg_catalog,pg_description,pg_description_o_c_o_index,1634,0,0,354,3199
1653668461.992623,pg_catalog,pg_cast,pg_cast_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_cast,pg_cast_source_target_index,241725,55237,55237,1653,246580
1653668461.992623,pg_catalog,pg_enum,pg_enum_oid_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_enum,pg_enum_typid_sortorder_index,0,0,0,0,0
1653668461.992623,pg_catalog,pg_enum,pg_enum_typid_label_index,0,0,0,0,0
