stream,query,template,s_time,e_time,elapsed_time,diff_time
1,15,../query_postgresql/query95.tpl,2024-06-27 05:07:29,2024-06-27 05:09:03,00:01:34.089141,94.089141
1,16,query63.tpl,2024-06-27 05:09:03,2024-06-27 05:09:03,00:00:00.221179,0.221179
1,17,query99.tpl,2024-06-27 05:09:03,2024-06-27 05:09:04,00:00:00.412577,0.412577
1,18,query3.tpl,2024-06-27 05:09:04,2024-06-27 05:09:04,00:00:00.010122,0.010122
2,9,query27.tpl,2024-06-27 05:09:04,2024-06-27 05:09:05,00:00:00.926127,0.926127
2,10,query87.tpl,2024-06-27 05:09:05,2024-06-27 05:09:07,00:00:02.238141,2.238141
2,11,query90.tpl,2024-06-27 05:09:07,2024-06-27 05:09:07,00:00:00.018833,0.018833
2,12,query83.tpl,2024-06-27 05:09:07,2024-06-27 05:09:07,00:00:00.074511,0.074511
2,13,query91.tpl,2024-06-27 05:09:07,2024-06-27 05:09:07,00:00:00.024377,0.024377
2,14,query28.tpl,2024-06-27 05:09:07,2024-06-27 05:09:09,00:00:01.583186,1.583186
2,15,query68.tpl,2024-06-27 05:09:09,2024-06-27 05:09:09,00:00:00.279458,0.279458
2,16,query8.tpl,2024-06-27 05:09:09,2024-06-27 05:09:09,00:00:00.130775,0.130775
2,17,query76.tpl,2024-06-27 05:09:09,2024-06-27 05:09:10,00:00:00.47983,0.479830
2,18,query75.tpl,2024-06-27 05:09:10,2024-06-27 05:09:11,00:00:01.748097,1.748097
2,19,../query_postgresql/query80.tpl,2024-06-27 05:09:11,2024-06-27 05:09:12,00:00:00.288395,0.288395
4,28,query28.tpl,2024-06-27 05:09:50,2024-06-27 05:09:51,00:00:01.585318,1.585318
1,19,query6.tpl,2024-06-27 05:09:04,2024-06-27 05:10:47,00:01:43.137632,103.137632
1,20,../query_postgresql/query12.tpl,2024-06-27 05:10:47,2024-06-27 05:10:47,00:00:00.027515,0.027515
1,21,query28.tpl,2024-06-27 05:10:47,2024-06-27 05:10:48,00:00:01.582957,1.582957
1,22,query85.tpl,2024-06-27 05:10:48,2024-06-27 05:10:48,00:00:00.126956,0.126956
1,23,query51.tpl,2024-06-27 05:10:48,2024-06-27 05:10:50,00:00:01.449463,1.449463
1,24,query41.tpl,2024-06-27 05:10:50,2024-06-27 05:10:51,00:00:00.987278,0.987278
1,25,query27.tpl,2024-06-27 05:10:51,2024-06-27 05:10:52,00:00:00.89922,0.899220
1,26,query78.tpl,2024-06-27 05:10:52,2024-06-27 05:10:54,00:00:02.601618,2.601618
1,27,query8.tpl,2024-06-27 05:10:54,2024-06-27 05:10:55,00:00:00.133517,0.133517
4,29,query81.tpl,2024-06-27 05:09:51,2024-06-27 05:11:03,00:01:11.268205,71.268205
4,30,query44.tpl,2024-06-27 05:11:03,2024-06-27 05:11:04,00:00:00.961864,0.961864
4,31,query97.tpl,2024-06-27 05:11:04,2024-06-27 05:11:05,00:00:00.971205,0.971205
4,32,query88.tpl,2024-06-27 05:11:05,2024-06-27 05:11:07,00:00:02.134782,2.134782
4,33,../query_postgresql/query77.tpl,2024-06-27 05:11:07,2024-06-27 05:11:07,00:00:00.239909,0.239909
1,28,../query_postgresql/query14.tpl,2024-06-27 05:10:55,2024-06-27 05:11:33,00:00:38.533199,38.533199
1,29,query50.tpl,2024-06-27 05:11:33,2024-06-27 05:11:33,00:00:00.035186,0.035186
1,30,query52.tpl,2024-06-27 05:11:33,2024-06-27 05:11:33,00:00:00.194249,0.194249
4,34,../query_postgresql/query95.tpl,2024-06-27 05:11:07,2024-06-27 05:11:39,00:00:31.780389,31.780389
4,35,query33.tpl,2024-06-27 05:11:39,2024-06-27 05:11:39,00:00:00.18544,0.185440
4,36,../query_variants/query36a.tpl,2024-06-27 05:11:39,2024-06-27 05:11:40,00:00:01.080608,1.080608
4,37,query61.tpl,2024-06-27 05:11:40,2024-06-27 05:11:40,00:00:00.003525,0.003525
4,38,query35.tpl,2024-06-27 05:11:40,2024-06-27 05:11:41,00:00:00.548813,0.548813
4,39,query60.tpl,2024-06-27 05:11:41,2024-06-27 05:11:41,00:00:00.384471,0.384471
4,40,query75.tpl,2024-06-27 05:11:41,2024-06-27 05:11:43,00:00:01.647094,1.647094
2,20,query1.tpl,2024-06-27 05:09:12,2024-06-27 05:12:42,00:03:29.908611,209.908611
2,21,query69.tpl,2024-06-27 05:12:42,2024-06-27 05:12:42,00:00:00.122885,0.122885
2,22,query26.tpl,2024-06-27 05:12:42,2024-06-27 05:12:42,00:00:00.64724,0.647240
1,31,query81.tpl,2024-06-27 05:11:33,2024-06-27 05:12:47,00:01:13.471573,73.471573
1,32,../query_postgresql/query5.tpl,2024-06-27 05:12:47,2024-06-27 05:12:49,00:00:02.535663,2.535663
1,33,query26.tpl,2024-06-27 05:12:49,2024-06-27 05:12:50,00:00:00.660386,0.660386
1,34,query57.tpl,2024-06-27 05:12:50,2024-06-27 05:12:52,00:00:01.632861,1.632861
1,35,../query_postgresql/query82.tpl,2024-06-27 05:12:52,2024-06-27 05:12:52,00:00:00.008313,0.008313
1,36,query69.tpl,2024-06-27 05:12:52,2024-06-27 05:12:52,00:00:00.123937,0.123937
1,37,query54.tpl,2024-06-27 05:12:52,2024-06-27 05:12:52,00:00:00.17551,0.175510
1,38,query61.tpl,2024-06-27 05:12:52,2024-06-27 05:12:52,00:00:00.00368,0.003680
1,39,query88.tpl,2024-06-27 05:12:52,2024-06-27 05:12:54,00:00:02.118297,2.118297
1,40,query18.tpl,2024-06-27 05:12:54,2024-06-27 05:12:55,00:00:00.743548,0.743548
1,41,../query_postgresql/query94.tpl,2024-06-27 05:12:55,2024-06-27 05:12:55,00:00:00.142281,0.142281
4,41,query74.tpl,2024-06-27 05:11:43,2024-06-27 05:25:23,00:13:40.735957,820.735957
2,23,query11.tpl,2024-06-27 05:12:42,2024-06-27 05:48:27,00:35:44.297885,2144.297885
3,33,query78.tpl,2024-06-27 06:24:12,2024-06-27 06:24:15,00:00:02.968764,2.968764
3,34,query43.tpl,2024-06-27 06:24:15,2024-06-27 06:24:16,00:00:00.532974,0.532974
3,35,query22.tpl,2024-06-27 06:24:16,2024-06-27 06:24:21,00:00:04.909139,4.909139
3,36,../query_postgresql/query21.tpl,2024-06-27 06:24:21,2024-06-27 06:24:21,00:00:00.64174,0.641740
3,37,query97.tpl,2024-06-27 06:24:21,2024-06-27 06:24:22,00:00:00.976486,0.976486
3,38,query47.tpl,2024-06-27 06:24:22,2024-06-27 06:24:24,00:00:01.890802,1.890802
3,39,query29.tpl,2024-06-27 06:24:24,2024-06-27 06:24:25,00:00:01.102253,1.102253
3,40,query3.tpl,2024-06-27 06:24:25,2024-06-27 06:24:25,00:00:00.016633,0.016633
3,41,query76.tpl,2024-06-27 06:24:25,2024-06-27 06:24:26,00:00:00.464877,0.464877
3,42,../query_postgresql/query82.tpl,2024-06-27 06:24:26,2024-06-27 06:24:26,00:00:00.012577,0.012577
3,43,query46.tpl,2024-06-27 06:24:26,2024-06-27 06:24:26,00:00:00.49704,0.497040
3,44,query41.tpl,2024-06-27 06:24:26,2024-06-27 06:24:27,00:00:00.987783,0.987783
3,45,query59.tpl,2024-06-27 06:24:27,2024-06-27 06:24:28,00:00:00.913876,0.913876
3,46,../query_postgresql/query40.tpl,2024-06-27 06:24:28,2024-06-27 06:24:28,00:00:00.062966,0.062966
3,47,query55.tpl,2024-06-27 06:24:28,2024-06-27 06:24:29,00:00:00.193245,0.193245
3,48,../query_postgresql/query16.tpl,2024-06-27 06:24:29,2024-06-27 06:24:29,00:00:00.621316,0.621316
3,49,query27.tpl,2024-06-27 06:24:29,2024-06-27 06:24:30,00:00:00.864986,0.864986
