# hostname;interval;timestamp;pswpin/s;pswpout/s
palamar;60;1719468308;0.00;0.00
palamar;60;1719468368;0.00;0.00
palamar;60;1719468428;0.00;0.00
palamar;60;1719468488;0.00;0.00
palamar;60;1719468548;0.00;0.00
palamar;60;1719468608;0.00;0.00
palamar;60;1719468668;0.00;0.00
palamar;60;1719468728;0.00;0.00
palamar;60;1719468788;0.00;0.00
palamar;60;1719468848;0.00;0.00
palamar;60;1719468908;0.00;0.00
palamar;60;1719468968;0.00;0.00
palamar;60;1719469028;0.00;0.00
palamar;60;1719469088;0.00;0.00
palamar;60;1719469148;0.00;0.00
palamar;60;1719469208;0.00;0.00
palamar;60;1719469268;0.00;0.00
palamar;60;1719469328;0.00;0.00
palamar;60;1719469388;0.00;0.00
palamar;60;1719469448;0.00;0.00
palamar;60;1719469508;0.00;0.00
palamar;60;1719469568;0.00;0.00
palamar;60;1719469628;0.00;0.00
palamar;60;1719469688;0.00;0.00
palamar;60;1719469748;0.00;0.00
palamar;60;1719469808;0.00;0.00
palamar;60;1719469868;0.00;0.00
palamar;60;1719469928;0.00;0.00
palamar;60;1719469988;0.00;0.00
palamar;60;1719470048;0.00;0.00
palamar;60;1719470108;0.00;0.00
palamar;60;1719470168;0.00;0.00
palamar;60;1719470228;0.00;0.00
palamar;60;1719470288;0.00;0.00
palamar;60;1719470348;0.00;0.00
palamar;60;1719470408;0.00;0.00
palamar;60;1719470468;0.00;0.00
palamar;60;1719470528;0.00;0.00
palamar;60;1719470588;0.00;0.00
palamar;60;1719470648;0.00;0.00
palamar;60;1719470708;0.00;0.00
palamar;60;1719470768;0.00;0.00
palamar;60;1719470828;0.00;0.00
palamar;60;1719470888;0.00;0.00
palamar;60;1719470948;0.00;0.00
palamar;60;1719471008;0.00;0.00
palamar;60;1719471068;0.00;0.00
palamar;60;1719471128;0.00;0.00
palamar;60;1719471188;0.00;0.00
palamar;60;1719471248;0.00;0.00
palamar;60;1719471308;0.00;0.00
palamar;60;1719471368;0.00;0.00
palamar;60;1719471428;0.00;0.00
palamar;60;1719471488;0.00;0.00
palamar;60;1719471548;0.00;0.00
palamar;60;1719471608;0.00;0.00
palamar;60;1719471668;0.00;0.00
palamar;60;1719471728;0.00;0.00
palamar;60;1719471788;0.00;0.00
palamar;60;1719471848;0.00;0.00
palamar;60;1719471908;0.00;0.00
palamar;60;1719471968;0.00;0.00
palamar;60;1719472028;0.00;0.00
palamar;60;1719472088;0.00;0.00
palamar;60;1719472148;0.00;0.00
palamar;60;1719472208;0.00;0.00
palamar;60;1719472268;0.00;0.00
palamar;60;1719472328;0.00;0.00
palamar;60;1719472388;0.00;0.00
palamar;60;1719472448;0.00;0.00
palamar;60;1719472508;0.00;0.00
palamar;60;1719472568;0.00;0.00
palamar;60;1719472628;0.00;0.00
palamar;60;1719472688;0.00;0.00
palamar;60;1719472748;0.00;0.00
palamar;60;1719472808;0.00;0.00
palamar;60;1719472868;0.00;0.00
palamar;60;1719472928;0.00;0.00
palamar;60;1719472988;0.00;0.00
palamar;60;1719473048;0.00;0.00
palamar;60;1719473108;0.00;0.00
palamar;60;1719473168;0.00;0.00
palamar;60;1719473228;0.00;0.00
palamar;60;1719473288;0.00;0.00
palamar;60;1719473348;0.00;0.00
palamar;60;1719473408;0.00;0.00
palamar;60;1719473468;0.00;0.00
palamar;60;1719473528;0.00;0.00
palamar;60;1719473588;0.00;0.00
palamar;60;1719473648;0.00;0.00
palamar;60;1719473708;0.00;0.00
palamar;60;1719473768;0.00;0.00
palamar;60;1719473828;0.00;0.00
palamar;60;1719473888;0.00;0.00
palamar;60;1719473948;0.00;0.00
palamar;60;1719474008;0.00;0.00
palamar;60;1719474068;0.00;0.00
palamar;60;1719474128;0.00;0.00
palamar;60;1719474188;0.00;0.00
palamar;60;1719474248;0.00;0.00
palamar;60;1719474308;0.00;0.00
palamar;60;1719474368;0.00;0.00
palamar;60;1719474428;0.00;0.00
palamar;60;1719474488;0.00;0.00
palamar;60;1719474548;0.00;0.00
palamar;60;1719474608;0.00;0.00
palamar;60;1719474668;0.00;0.00
palamar;60;1719474728;0.00;0.00
palamar;60;1719474788;0.00;0.00
palamar;60;1719474848;0.00;0.00
