ctime,relid,schemaname,relname,blks_read,blks_hit
1719468069.445565,4268223,public,dataset,1,1
1719468129.454117,4268223,public,dataset,1,1
1719468189.462340,4268223,public,dataset,1,1
1719468249.469270,4268223,public,dataset,1,1
1719468309.478978,4268223,public,dataset,1,1
1719468369.485437,4268223,public,dataset,1,1
1719468429.498911,4268223,public,dataset,1,1
1719468489.518399,4268223,public,dataset,1,1
1719468549.528873,4268223,public,dataset,1,1
1719468609.537572,4268223,public,dataset,1,1
1719468669.546018,4268223,public,dataset,1,1
1719468729.555937,4268223,public,dataset,1,1
1719468789.568496,4268223,public,dataset,1,1
1719468849.583682,4268223,public,dataset,1,1
1719468909.593224,4268223,public,dataset,1,1
1719468969.604428,4268223,public,dataset,1,1
1719469029.616737,4268223,public,dataset,1,1
1719469089.623320,4268223,public,dataset,1,1
1719469149.634507,4268223,public,dataset,1,1
1719469209.643209,4268223,public,dataset,1,1
1719469269.661156,4268223,public,dataset,1,1
1719469329.671586,4268223,public,dataset,1,1
1719469389.677220,4268223,public,dataset,1,1
1719469449.686994,4268223,public,dataset,1,1
1719469509.697431,4268223,public,dataset,1,1
1719469569.711495,4268223,public,dataset,1,1
1719469629.717674,4268223,public,dataset,1,1
1719469689.722863,4268223,public,dataset,1,1
1719469749.737025,4268223,public,dataset,1,1
1719469809.745110,4268223,public,dataset,1,1
1719469869.755128,4268223,public,dataset,1,1
1719469929.761511,4268223,public,dataset,1,1
1719469989.774718,4268223,public,dataset,1,1
1719470049.785265,4268223,public,dataset,1,1
1719470109.794533,4268223,public,dataset,1,1
1719470169.800593,4268223,public,dataset,1,1
1719470229.813446,4268223,public,dataset,1,1
1719470289.821415,4268223,public,dataset,1,1
1719470349.840482,4268223,public,dataset,1,1
1719470409.847710,4268223,public,dataset,1,1
1719470469.857376,4268223,public,dataset,1,1
1719470529.866520,4268223,public,dataset,1,1
1719470589.877475,4268223,public,dataset,1,1
1719470649.892194,4268223,public,dataset,1,1
1719470709.903086,4268223,public,dataset,1,1
1719470769.914741,4268223,public,dataset,1,1
1719470829.929245,4268223,public,dataset,1,1
1719470889.944762,4268223,public,dataset,1,1
1719470949.956288,4268223,public,dataset,1,1
1719471009.963070,4268223,public,dataset,1,1
1719471069.972663,4268223,public,dataset,1,1
1719471129.984605,4268223,public,dataset,1,1
1719471190.000421,4268223,public,dataset,1,1
1719471250.008433,4268223,public,dataset,1,1
1719471310.021472,4268223,public,dataset,1,1
1719471370.029837,4268223,public,dataset,1,1
1719471430.049198,4268223,public,dataset,1,1
1719471490.057032,4268223,public,dataset,1,1
1719471550.071170,4268223,public,dataset,1,1
1719471610.082493,4268223,public,dataset,1,1
1719471670.095725,4268223,public,dataset,1,1
1719471730.106333,4268223,public,dataset,1,1
1719471790.111673,4268223,public,dataset,1,1
1719471850.128095,4268223,public,dataset,1,1
1719471910.143930,4268223,public,dataset,1,1
1719471970.153409,4268223,public,dataset,1,1
1719472030.169719,4268223,public,dataset,1,1
1719472090.180106,4268223,public,dataset,1,1
1719472150.187979,4268223,public,dataset,1,1
1719472210.200333,4268223,public,dataset,1,1
1719472270.215094,4268223,public,dataset,1,1
1719472330.223710,4268223,public,dataset,1,1
1719472390.238096,4268223,public,dataset,1,1
1719472450.251449,4268223,public,dataset,1,1
1719472510.264963,4268223,public,dataset,1,1
1719472570.277182,4268223,public,dataset,1,1
1719472630.288217,4268223,public,dataset,1,1
1719472690.303190,4268223,public,dataset,1,1
1719472750.316092,4268223,public,dataset,1,1
1719472810.324015,4268223,public,dataset,1,1
1719472870.339322,4268223,public,dataset,1,1
1719472930.352058,4268223,public,dataset,1,1
1719472990.364470,4268223,public,dataset,1,1
1719473050.374301,4268223,public,dataset,1,1
1719473110.385076,4268223,public,dataset,1,1
1719473170.397505,4268223,public,dataset,1,1
1719473230.410311,4268223,public,dataset,1,1
1719473290.425437,4268223,public,dataset,1,1
1719473350.436963,4268223,public,dataset,1,1
1719473410.447773,4268223,public,dataset,1,1
1719473470.462507,4268223,public,dataset,1,1
1719473530.473106,4268223,public,dataset,1,1
1719473590.486570,4268223,public,dataset,1,1
1719473650.502340,4268223,public,dataset,1,1
1719473710.509996,4268223,public,dataset,1,1
1719473770.525003,4268223,public,dataset,1,1
1719473830.536071,4268223,public,dataset,1,1
1719473890.545059,4268223,public,dataset,1,1
1719473950.552947,4268223,public,dataset,1,1
1719474010.562242,4268223,public,dataset,1,1
1719474070.569524,4268223,public,dataset,1,1
1719474130.583677,4268223,public,dataset,1,1
1719474190.590904,4268223,public,dataset,1,1
1719474250.603404,4268223,public,dataset,1,1
1719474310.615271,4268223,public,dataset,1,1
1719474370.621414,4268223,public,dataset,1,1
1719474430.634745,4268223,public,dataset,1,1
1719474490.643854,4268223,public,dataset,1,1
1719474550.653077,4268223,public,dataset,1,1
1719474610.693663,4268223,public,dataset,1,1
1719474670.689350,4268223,public,dataset,1,1
1719474730.694034,4268223,public,dataset,1,1
1719474790.695778,4268223,public,dataset,1,1
1719474850.709791,4268223,public,dataset,1,1
1719474910.719061,4268223,public,dataset,1,1
1719474970.731799,4268223,public,dataset,1,1
1719475030.744991,4268223,public,dataset,1,1
1719475090.751364,4268223,public,dataset,1,1
1719475150.767708,4268223,public,dataset,1,1
1719475210.776800,4268223,public,dataset,1,1
1719475270.788588,4268223,public,dataset,1,1
1719475330.804438,4268223,public,dataset,1,1
1719475390.810684,4268223,public,dataset,1,1
1719475450.824851,4268223,public,dataset,1,1
1719475510.836446,4268223,public,dataset,1,1
1719475570.848234,4268223,public,dataset,1,1
1719475630.854985,4268223,public,dataset,1,1
1719475690.861451,4268223,public,dataset,1,1
1719475750.869205,4268223,public,dataset,1,1
1719475810.883159,4268223,public,dataset,1,1
1719475870.889970,4268223,public,dataset,1,1
1719475930.902062,4268223,public,dataset,1,1
1719475990.915232,4268223,public,dataset,1,1
1719476050.924133,4268223,public,dataset,1,1
1719476110.939878,4268223,public,dataset,1,1
1719476170.947920,4268223,public,dataset,1,1
1719476230.962967,4268223,public,dataset,1,1
1719476290.969448,4268223,public,dataset,1,1
1719476350.982709,4268223,public,dataset,1,1
1719476410.993192,4268223,public,dataset,1,1
1719476471.001981,4268223,public,dataset,1,1
1719476531.013887,4268223,public,dataset,1,1
1719476591.032110,4268223,public,dataset,1,1
1719476651.039522,4268223,public,dataset,1,1
1719476711.047966,4268223,public,dataset,1,1
1719476771.066970,4268223,public,dataset,1,1
1719476831.076725,4268223,public,dataset,1,1
1719476891.095345,4268223,public,dataset,1,1
1719476951.104235,4268223,public,dataset,1,1
1719477011.116357,4268223,public,dataset,1,1
1719477071.126886,4268223,public,dataset,1,1
1719477131.143912,4268223,public,dataset,1,1
1719477191.155733,4268223,public,dataset,1,1
1719477251.169249,4268223,public,dataset,1,1
1719477311.181663,4268223,public,dataset,1,1
1719477371.194064,4268223,public,dataset,1,1
1719477431.200662,4268223,public,dataset,1,1
1719477491.215808,4268223,public,dataset,1,1
1719477551.224992,4268223,public,dataset,1,1
1719477611.239706,4268223,public,dataset,1,1
1719477671.246327,4268223,public,dataset,1,1
1719477731.267369,4268223,public,dataset,1,1
1719477791.278894,4268223,public,dataset,1,1
1719477851.294385,4268223,public,dataset,1,1
1719477911.306892,4268223,public,dataset,1,1
1719477971.321575,4268223,public,dataset,1,1
1719478031.330059,4268223,public,dataset,1,1
1719478091.343192,4268223,public,dataset,1,1
1719478151.357134,4268223,public,dataset,1,1
1719478211.366651,4268223,public,dataset,1,1
1719478271.383478,4268223,public,dataset,1,1
1719478331.393549,4268223,public,dataset,1,1
1719478391.404260,4268223,public,dataset,1,1
1719478451.412675,4268223,public,dataset,1,1
1719478511.428126,4268223,public,dataset,1,1
1719478571.433803,4268223,public,dataset,1,1
1719478631.446168,4268223,public,dataset,1,1
1719478691.456736,4268223,public,dataset,1,1
1719478751.469872,4268223,public,dataset,1,1
1719478811.478691,4268223,public,dataset,1,1
1719478871.495212,4268223,public,dataset,1,1
1719478931.499783,4268223,public,dataset,1,1
1719478991.517139,4268223,public,dataset,1,1
1719479051.528440,4268223,public,dataset,1,1
1719479111.538357,4268223,public,dataset,1,1
1719479171.553048,4268223,public,dataset,1,1
1719479231.558747,4268223,public,dataset,1,1
1719479291.570931,4268223,public,dataset,1,1
