ctime,datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
1719465248.887309,4212858,dbt5,0,2710132,4989,1084972869,5879619982,60735960656,7852624641,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719465308.905149,0,,0,0,0,221,39487766,17513669,8500450,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465308.905149,5,postgres,0,1418529,0,617,51823230,620614177,9951232,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719465308.905149,4263817,dbt7,7,1381416,193,12015639,1800048307,13145154294,834352489,301436714,18859,34231,0,1158,40008582510,0,,,0,0,175298519.038,96393190.444,0,19583,0,0,0,
1719465308.905149,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465308.905149,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465308.905149,4212858,dbt5,0,2710242,4989,1084972869,5879623997,60736021376,7852625411,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719465368.911927,0,,0,0,0,221,39490732,17514346,8501117,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465368.911927,5,postgres,0,1418641,0,617,51827318,620663177,9952016,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719465368.911927,4263817,dbt7,7,1381546,193,12015639,1800058596,13145224649,834356034,301436714,18859,34231,0,1158,40008582510,0,,,0,0,175298577.623,96393217.011,0,19592,0,0,0,
1719465368.911927,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465368.911927,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465368.911927,4212858,dbt5,0,2710354,4989,1084972869,5879628085,60736083200,7852626195,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719465428.924080,0,,0,0,0,221,39493892,17515092,8501830,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465428.924080,5,postgres,0,1418753,0,617,51831406,620712177,9952800,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719465428.924080,4263817,dbt7,7,1381692,193,12015639,1800071799,13145296737,834361302,301436714,18859,34231,0,1158,40008582510,0,,,0,0,175298685.339,96393264.236,0,19609,0,0,0,
1719465428.924080,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465428.924080,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465428.924080,4212858,dbt5,0,2710468,4989,1084972869,5879632246,60736146128,7852626993,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719465488.942275,0,,0,0,0,221,39497376,17515936,8502618,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465488.942275,5,postgres,0,1418865,0,617,51835494,620761177,9953584,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719465488.942275,4263817,dbt7,7,1381862,193,12015639,1800090127,13145373224,834369586,301436714,18859,34231,0,1158,40008582510,0,,,0,0,175298866.232,96393342.301,0,19638,0,0,0,
1719465488.942275,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465488.942275,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465488.942275,4212858,dbt5,0,2710580,4989,1084972869,5879636334,60736207952,7852627777,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719465548.946212,0,,0,0,0,221,39500288,17516601,8503273,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465548.946212,5,postgres,0,1418977,0,617,51839582,620810177,9954368,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719465548.946212,4263817,dbt7,9,1381987,193,12015639,1800098425,13145441141,834372064,301436714,18859,34231,0,1158,40008582510,0,,,0,0,175298908.771,96393360.394,0,19645,0,0,0,
1719465548.946212,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465548.946212,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465548.946212,4212858,dbt5,0,2710692,4989,1084972869,5879640422,60736269776,7852628561,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719465608.962384,0,,0,0,0,221,39503489,17517380,8503996,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465608.962384,5,postgres,0,1419089,0,617,51843670,620859177,9955152,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719465608.962384,4263817,dbt7,7,1382136,193,12015639,1800112564,13145513788,834377888,301436714,18859,34231,0,1158,40008582510,0,,,0,0,175299026.769,96393414.119,0,19663,0,0,0,
1719465608.962384,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465608.962384,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465608.962384,4212858,dbt5,0,2710804,4989,1084972869,5879644510,60736331600,7852629345,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719465668.976382,0,,0,0,0,221,39506637,17518123,8504706,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719465668.976382,5,postgres,0,1419201,0,617,51847758,620908177,9955936,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
