ctime,wal_records,wal_fpi,wal_bytes,wal_buffers_full,wal_write,wal_sync,wal_write_time,wal_sync_time,stats_reset
1719468729.558805,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
1719468789.569113,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
1719468849.580483,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
1719468909.594940,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
1719468969.608391,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
1719469029.617962,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
1719469089.626810,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
1719469149.635554,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
1719469209.651345,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
1719469269.658585,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
1719469329.671105,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
1719469389.677905,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
1719469449.689736,392420151,81032932,1604020291692,17806174,19418757,1599039,0,0,2024-06-13 18:53:49.178489+00
1719469509.700223,392420290,81032943,1604020369439,17806174,19418821,1599103,0,0,2024-06-13 18:53:49.178489+00
1719469569.710544,392420304,81032943,1604020370256,17806174,19418830,1599112,0,0,2024-06-13 18:53:49.178489+00
1719469629.716268,392420304,81032943,1604020370256,17806174,19418830,1599112,0,0,2024-06-13 18:53:49.178489+00
1719469689.725755,392420313,81032943,1604020370784,17806174,19418835,1599117,0,0,2024-06-13 18:53:49.178489+00
1719469749.733892,392420313,81032943,1604020370784,17806174,19418835,1599117,0,0,2024-06-13 18:53:49.178489+00
1719469809.741608,392420313,81032943,1604020370784,17806174,19418835,1599117,0,0,2024-06-13 18:53:49.178489+00
1719469869.752955,392420313,81032943,1604020370784,17806174,19418835,1599117,0,0,2024-06-13 18:53:49.178489+00
1719469929.766002,392420322,81032943,1604020371312,17806174,19418840,1599122,0,0,2024-06-13 18:53:49.178489+00
1719469989.776431,392420402,81032945,1604020386421,17806174,19418876,1599158,0,0,2024-06-13 18:53:49.178489+00
1719470049.787826,392420403,81032945,1604020386471,17806174,19418877,1599159,0,0,2024-06-13 18:53:49.178489+00
1719470109.790973,392420403,81032945,1604020386471,17806174,19418877,1599159,0,0,2024-06-13 18:53:49.178489+00
1719470169.804350,392420405,81032945,1604020386635,17806174,19418878,1599160,0,0,2024-06-13 18:53:49.178489+00
1719470229.815272,392420406,81032945,1604020386685,17806174,19418879,1599161,0,0,2024-06-13 18:53:49.178489+00
1719470289.826125,392420406,81032945,1604020386685,17806174,19418879,1599161,0,0,2024-06-13 18:53:49.178489+00
1719470349.833926,392420406,81032945,1604020386685,17806174,19418879,1599161,0,0,2024-06-13 18:53:49.178489+00
1719470409.843426,392420406,81032945,1604020386685,17806174,19418879,1599161,0,0,2024-06-13 18:53:49.178489+00
1719470469.856311,392420406,81032945,1604020386685,17806174,19418879,1599161,0,0,2024-06-13 18:53:49.178489+00
1719470529.862190,392420406,81032945,1604020386685,17806174,19418879,1599161,0,0,2024-06-13 18:53:49.178489+00
1719470589.874509,392420406,81032945,1604020386685,17806174,19418879,1599161,0,0,2024-06-13 18:53:49.178489+00
1719470649.890546,392420406,81032945,1604020386685,17806174,19418879,1599161,0,0,2024-06-13 18:53:49.178489+00
1719470709.903655,392420406,81032945,1604020386685,17806174,19418879,1599161,0,0,2024-06-13 18:53:49.178489+00
1719470769.915724,392420406,81032945,1604020386685,17806174,19418879,1599161,0,0,2024-06-13 18:53:49.178489+00
1719470829.926889,392420406,81032945,1604020386685,17806174,19418879,1599161,0,0,2024-06-13 18:53:49.178489+00
1719470889.942932,392420406,81032945,1604020386685,17806174,19418879,1599161,0,0,2024-06-13 18:53:49.178489+00
1719470949.955398,392420406,81032945,1604020386685,17806174,19418879,1599161,0,0,2024-06-13 18:53:49.178489+00
1719471009.960729,392420406,81032945,1604020386685,17806174,19418879,1599161,0,0,2024-06-13 18:53:49.178489+00
