# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
z15rhel7;60;1707242225;3;0.75;0.00;1.28;49.56;0.58;47.83
z15rhel7;60;1707242285;-1;4.45;0.00;3.56;39.12;2.13;50.73
z15rhel7;60;1707242285;0;2.40;0.00;1.92;36.47;1.15;58.06
z15rhel7;60;1707242285;1;12.90;0.00;7.32;68.78;5.08;5.92
z15rhel7;60;1707242285;2;0.50;0.00;3.22;5.55;0.88;89.85
z15rhel7;60;1707242285;3;2.02;0.00;1.75;45.71;1.42;49.11
z15rhel7;60;1707242345;-1;7.19;0.00;4.47;32.76;3.44;52.14
z15rhel7;60;1707242345;0;7.93;0.00;5.72;40.28;3.80;42.27
z15rhel7;60;1707242345;1;9.25;0.00;4.17;36.70;4.10;45.78
z15rhel7;60;1707242345;2;6.82;0.00;3.75;31.76;2.77;54.91
z15rhel7;60;1707242345;3;4.78;0.00;4.23;22.29;3.10;65.59
z15rhel7;60;1707242405;-1;10.16;0.00;5.58;19.07;10.42;54.76
z15rhel7;60;1707242405;0;3.20;0.00;4.30;25.40;4.00;63.09
z15rhel7;60;1707242405;1;14.02;0.00;8.12;22.07;12.45;43.34
z15rhel7;60;1707242405;2;14.57;0.00;6.57;14.90;14.95;49.02
z15rhel7;60;1707242405;3;8.85;0.00;3.33;13.92;10.29;63.61
z15rhel7;60;1707242465;-1;6.10;0.00;3.52;36.60;3.98;49.80
z15rhel7;60;1707242465;0;4.25;0.00;2.37;25.82;2.58;64.98
z15rhel7;60;1707242465;1;1.78;0.00;1.02;56.30;2.05;38.85
z15rhel7;60;1707242465;2;17.38;0.00;6.92;53.82;8.95;12.93
z15rhel7;60;1707242465;3;0.98;0.00;3.81;10.46;2.35;82.40
z15rhel7;60;1707242525;-1;7.20;0.00;4.17;32.49;6.15;49.99
z15rhel7;60;1707242525;0;2.28;0.00;4.28;53.79;2.68;36.96
z15rhel7;60;1707242525;1;2.07;0.00;2.13;9.21;3.40;83.19
z15rhel7;60;1707242525;2;4.31;0.00;2.52;45.64;3.95;43.58
z15rhel7;60;1707242525;3;20.15;0.00;7.77;21.31;14.55;36.23
z15rhel7;60;1707242585;-1;2.36;0.00;1.87;41.42;0.61;53.74
z15rhel7;60;1707242585;0;7.02;0.00;3.87;68.82;1.82;18.47
z15rhel7;60;1707242585;1;0.50;0.00;1.23;35.40;0.22;62.65
z15rhel7;60;1707242585;2;0.62;0.00;0.65;30.16;0.15;68.43
z15rhel7;60;1707242585;3;1.30;0.00;1.77;31.27;0.28;65.38
z15rhel7;60;1707242645;-1;9.91;0.00;5.17;25.21;6.64;53.08
z15rhel7;60;1707242645;0;14.80;0.00;6.27;48.24;7.88;22.81
z15rhel7;60;1707242645;1;3.87;0.00;4.05;20.81;4.10;67.18
z15rhel7;60;1707242645;2;5.85;0.00;2.12;7.20;4.90;79.94
z15rhel7;60;1707242645;3;15.13;0.00;8.22;24.62;9.65;42.38
z15rhel7;60;1707242705;-1;9.53;0.00;5.27;24.43;6.78;53.99
z15rhel7;60;1707242705;0;9.42;0.00;6.88;27.51;6.82;49.38
z15rhel7;60;1707242705;1;5.63;0.00;3.17;14.15;4.68;72.37
z15rhel7;60;1707242705;2;12.03;0.00;6.13;25.44;8.13;48.27
z15rhel7;60;1707242705;3;11.03;0.00;4.87;30.64;7.48;45.98
z15rhel7;60;1707242765;-1;7.35;0.00;4.21;30.65;5.53;52.27
z15rhel7;60;1707242765;0;5.41;0.00;3.52;44.79;3.77;42.52
z15rhel7;60;1707242765;1;7.87;0.00;3.07;28.05;5.77;55.26
z15rhel7;60;1707242765;2;9.75;0.00;5.40;41.96;6.60;36.29
z15rhel7;60;1707242765;3;6.36;0.00;4.86;7.80;6.01;74.96
z15rhel7;60;1707242825;-1;10.20;0.00;5.58;22.71;8.98;52.54
z15rhel7;60;1707242825;0;15.78;0.00;5.21;44.89;11.45;22.68
z15rhel7;60;1707242825;1;10.45;0.00;4.57;20.44;10.20;54.35
z15rhel7;60;1707242825;2;3.45;0.00;6.93;4.65;6.45;78.53
z15rhel7;60;1707242825;3;11.15;0.00;5.60;20.84;7.81;54.60
z15rhel7;60;1707242885;-1;5.72;0.00;3.36;38.32;2.78;49.82
z15rhel7;60;1707242885;0;13.17;0.00;5.75;49.75;5.45;25.88
z15rhel7;60;1707242885;1;1.62;0.00;2.63;26.65;1.53;67.57
z15rhel7;60;1707242885;2;3.25;0.00;1.77;55.99;1.40;37.60
z15rhel7;60;1707242885;3;4.82;0.00;3.32;20.90;2.77;68.21
z15rhel7;60;1707242945;-1;7.12;0.00;4.12;34.37;3.57;50.83
z15rhel7;60;1707242945;0;14.77;0.00;6.55;60.43;6.40;11.85
z15rhel7;60;1707242945;1;0.38;0.00;3.23;6.45;1.35;88.58
z15rhel7;60;1707242945;2;9.23;0.00;3.83;65.80;4.17;16.97
z15rhel7;60;1707242945;3;4.08;0.00;2.83;4.78;2.37;85.93
z15rhel7;60;1707243005;-1;5.86;0.00;3.70;37.76;3.19;49.50
z15rhel7;60;1707243005;0;10.10;0.00;4.92;47.89;4.22;32.87
z15rhel7;60;1707243005;1;0.45;0.00;2.52;41.87;1.37;53.80
z15rhel7;60;1707243005;2;12.47;0.00;6.62;32.03;6.67;42.22
z15rhel7;60;1707243005;3;0.43;0.00;0.68;29.27;0.52;69.09
z15rhel7;60;1707243065;-1;2.90;0.00;2.30;41.48;1.68;51.64
z15rhel7;60;1707243065;0;4.16;0.00;2.51;25.12;2.20;66.01
z15rhel7;60;1707243065;1;0.20;0.00;1.85;12.30;0.63;85.02
z15rhel7;60;1707243065;2;4.10;0.00;2.40;80.32;1.95;11.23
z15rhel7;60;1707243065;3;3.12;0.00;2.48;48.15;1.95;44.30
z15rhel7;60;1707243125;-1;1.10;0.00;1.37;44.93;0.77;51.83
z15rhel7;60;1707243125;0;0.40;0.00;1.75;26.98;0.38;70.48
z15rhel7;60;1707243125;1;2.67;0.00;1.87;46.73;1.93;46.80
z15rhel7;60;1707243125;2;0.98;0.00;1.17;72.20;0.35;25.30
z15rhel7;60;1707243125;3;0.33;0.00;0.73;33.80;0.38;64.75
z15rhel7;60;1707243185;-1;7.93;0.00;4.51;27.20;6.21;54.14
z15rhel7;60;1707243185;0;3.63;0.00;5.05;15.04;3.00;73.28
z15rhel7;60;1707243185;1;9.40;0.00;4.28;37.21;7.80;41.31
z15rhel7;60;1707243185;2;4.92;0.00;3.40;29.80;4.35;57.54
z15rhel7;60;1707243185;3;13.75;0.00;5.28;26.80;9.70;44.46
z15rhel7;60;1707243245;-1;8.92;0.00;5.05;18.99;12.57;54.48
z15rhel7;60;1707243245;0;6.43;0.00;5.77;9.93;7.72;70.15
z15rhel7;60;1707243245;1;8.70;0.00;5.32;23.90;13.16;48.93
z15rhel7;60;1707243245;2;11.53;0.00;5.52;28.30;18.05;36.60
z15rhel7;60;1707243245;3;9.03;0.00;3.60;13.83;11.36;62.19
z15rhel7;60;1707243305;-1;8.20;0.00;4.45;28.07;5.94;53.33
z15rhel7;60;1707243305;0;4.38;0.00;3.30;27.47;3.52;61.33
z15rhel7;60;1707243305;1;3.42;0.00;3.60;12.46;3.07;77.45
z15rhel7;60;1707243305;2;3.10;0.00;1.95;35.32;2.80;56.83
z15rhel7;60;1707243305;3;21.92;0.00;8.93;37.04;14.39;17.72
z15rhel7;60;1707243365;-1;4.00;0.00;2.86;40.65;3.16;49.32
z15rhel7;60;1707243365;0;1.13;0.00;1.33;21.03;1.12;75.39
z15rhel7;60;1707243365;1;13.27;0.00;5.74;28.16;9.00;43.83
z15rhel7;60;1707243365;2;0.47;0.00;3.07;27.08;1.48;67.91
z15rhel7;60;1707243365;3;1.15;0.00;1.30;86.33;1.03;10.18
z15rhel7;60;1707243425;-1;2.75;0.00;2.29;41.40;1.65;51.91
z15rhel7;60;1707243425;0;1.70;0.00;2.75;65.22;1.52;28.81
z15rhel7;60;1707243425;1;1.12;0.00;1.92;49.13;0.48;47.35
z15rhel7;60;1707243425;2;7.07;0.00;3.75;20.99;4.27;63.93
z15rhel7;60;1707243425;3;1.08;0.00;0.73;30.29;0.33;67.56
z15rhel7;60;1707243485;-1;3.64;0.00;2.82;39.02;2.19;52.33
z15rhel7;60;1707243485;0;7.78;0.00;5.05;68.14;3.77;15.26
z15rhel7;60;1707243485;1;1.03;0.00;1.33;6.32;0.82;90.50
z15rhel7;60;1707243485;2;4.17;0.00;3.38;48.91;3.07;40.48
z15rhel7;60;1707243485;3;1.57;0.00;1.58;32.65;1.10;63.10
z15rhel7;60;1707243545;-1;5.52;0.00;3.84;35.51;3.29;51.84
z15rhel7;60;1707243545;0;1.70;0.00;2.43;24.92;1.47;69.48
z15rhel7;60;1707243545;1;4.72;0.00;3.17;42.48;2.65;46.98
z15rhel7;60;1707243545;2;2.92;0.00;3.63;28.57;2.55;62.33
z15rhel7;60;1707243545;3;12.77;0.00;6.05;46.10;6.52;28.57
z15rhel7;60;1707243605;-1;8.64;0.00;4.55;25.01;9.65;52.14
z15rhel7;60;1707243605;0;9.62;0.00;4.55;48.20;9.72;27.92
z15rhel7;60;1707243605;1;7.08;0.00;4.68;10.95;12.18;65.11
z15rhel7;60;1707243605;2;4.80;0.00;2.22;5.50;6.95;80.54
z15rhel7;60;1707243605;3;13.09;0.00;6.78;35.41;9.73;34.99
z15rhel7;60;1707243665;-1;6.42;0.00;3.97;34.79;4.21;50.62
z15rhel7;60;1707243665;0;2.13;0.00;4.08;50.96;2.22;40.61
z15rhel7;60;1707243665;1;6.75;0.00;4.47;33.85;3.87;51.07
z15rhel7;60;1707243665;2;8.60;0.00;3.83;36.06;4.38;47.12
z15rhel7;60;1707243665;3;8.18;0.00;3.52;18.28;6.35;63.67
z15rhel7;60;1707243725;-1;7.15;0.00;5.12;30.03;5.83;51.86
z15rhel7;60;1707243725;0;12.61;0.00;7.35;38.91;8.50;32.63
z15rhel7;60;1707243725;1;5.50;0.00;4.05;56.50;5.25;28.70
z15rhel7;60;1707243725;2;2.57;0.00;4.25;6.07;4.40;82.72
z15rhel7;60;1707243725;3;7.93;0.00;4.78;18.65;5.22;63.42
z15rhel7;60;1707243785;-1;2.64;0.00;2.13;40.68;1.41;53.14
z15rhel7;60;1707243785;0;1.67;0.00;1.88;34.64;0.83;60.98
z15rhel7;60;1707243785;1;6.35;0.00;3.30;61.95;3.32;25.08
z15rhel7;60;1707243785;2;1.18;0.00;1.98;41.98;0.80;54.05
z15rhel7;60;1707243785;3;1.35;0.00;1.37;24.13;0.70;72.45
z15rhel7;60;1707243845;-1;6.67;0.00;4.20;32.93;3.27;52.94
z15rhel7;60;1707243845;0;7.52;0.00;5.47;31.87;4.18;50.96
z15rhel7;60;1707243845;1;4.43;0.00;3.55;22.18;2.08;67.75
