ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1653527738.982256,public,lineitem,lineitem_l_shipdate_idx,0,0,0,15,121970
1653527738.982256,public,lineitem,lineitem_l_receiptdate_idx,0,0,0,10,121958
1653527738.982256,pg_toast,pg_toast_1262,pg_toast_1262_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_1213,pg_toast_1213_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_1260,pg_toast_1260_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_3600,pg_toast_3600_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_3079,pg_toast_3079_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_2328,pg_toast_2328_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_1417,pg_toast_1417_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_1418,pg_toast_1418_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_3118,pg_toast_3118_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_3256,pg_toast_3256_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_6000,pg_toast_6000_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_826,pg_toast_826_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_3394,pg_toast_3394_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_3592,pg_toast_3592_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_3456,pg_toast_3456_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_3350,pg_toast_3350_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_6100,pg_toast_6100_index,0,0,0,0,0
1653527738.982256,pg_catalog,pg_authid,pg_authid_oid_index,7214,7214,7214,1346,13082
1653527738.982256,pg_catalog,pg_authid,pg_authid_rolname_index,5872,5872,5872,1359,10385
1653527738.982256,pg_toast,pg_toast_17486,pg_toast_17486_index,0,0,0,1,0
1653527738.982256,public,part,part_p_size_idx,0,0,0,3,49
1653527738.982256,public,part,part_ios_test1,24,319919,0,2263,21
1653527738.982256,public,part,pk_part,163377,2163374,2163314,24740,470331
1653527738.982256,public,part,part_p_type_p_partkey_idx,3,13459,0,72,11
1653527738.982256,public,part,part_p_container_p_brand_p_partkey_idx,13,26261,0,178,22
1653527738.982256,public,nation,pk_nation,24759,24831,24731,20,24763
1653527738.982256,pg_catalog,pg_statistic_ext_data,pg_statistic_ext_data_stxoid_index,0,0,0,0,0
1653527738.982256,pg_toast,pg_toast_17491,pg_toast_17491_index,0,0,0,1,0
1653527738.982256,public,partsupp,pk_partsupp,6199,8024688,24656,23900,14426
1653527738.982256,public,partsupp,partsupp_ps_suppkey_idx,32021,2480214,2480162,15796,80280
1653527738.982256,public,region,pk_region,20,20,0,10,19
1653527738.982256,pg_toast,pg_toast_17496,pg_toast_17496_index,0,0,0,1,0
1653527738.982256,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1653527738.982256,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1653527738.982256,pg_catalog,pg_subscription,pg_subscription_oid_index,0,0,0,0,0
1653527738.982256,pg_catalog,pg_subscription,pg_subscription_subname_index,0,0,0,0,0
1653527738.982256,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,202638,499683,499683,4121,415292
1653527738.982256,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,572,572,572,291,6678
1653527738.982256,pg_catalog,pg_proc,pg_proc_oid_index,34991,34991,34991,5034,70057
1653527738.982256,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,3089,18722,18722,2610,6654
1653527738.982256,pg_catalog,pg_class,pg_class_oid_index,160199,159646,146442,2376,326793
1653527738.982256,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,0,0,0,298,1709
1653527738.982256,pg_catalog,pg_class,pg_class_relname_nsp_index,16134,8372,8090,2387,35802
1653527738.982256,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
1653527738.982256,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
1653527738.982256,pg_catalog,pg_constraint,pg_constraint_oid_index,136,64,64,18,326
1653527738.982256,pg_catalog,pg_constraint,pg_constraint_conparentid_index,0,0,0,18,126
1653527738.982256,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,18,126
1653527738.982256,pg_catalog,pg_constraint,pg_constraint_conrelid_contypid_conname_index,567,567,567,403,720
1653527738.982256,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,18,126
1653527738.982256,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,544,0,0,80,1008
1653527738.982256,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1653527738.982256,pg_catalog,pg_index,pg_index_indexrelid_index,57220,57278,56998,1279,63791
1653527738.982256,pg_catalog,pg_index,pg_index_indrelid_index,11821,33803,33573,1414,14305
1653527738.982256,pg_catalog,pg_operator,pg_operator_oid_index,17760,17760,17760,2492,37028
1653527738.982256,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,12788,121083,121083,3100,26122
1653527738.982256,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1653527738.982256,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1653527738.982256,pg_catalog,pg_opclass,pg_opclass_oid_index,31925,31925,31925,1353,37918
1653527738.982256,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,10061,430789,430789,1062,11280
