ctime,datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,checksum_failures,checksum_last_failure,blk_read_time,blk_write_time,session_time,active_time,idle_in_transaction_time,sessions,sessions_abandoned,sessions_fatal,sessions_killed,stats_reset
1719458263.533651,4263817,dbt7,6,1361824,191,11982540,1430931499,10428824514,714471137,301436495,18598,34231,0,1042,35673005986,0,,,0,0,167235789.821,88344941.822,0,17558,0,0,0,
1719458263.533651,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458263.533651,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458263.533651,4212858,dbt5,0,2697128,4989,1084972869,5879145336,60728782448,7852533613,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719458323.546977,0,,0,0,0,221,39109805,17424510,8415157,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458323.546977,5,postgres,0,1405525,0,617,51348584,614924927,9860204,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719458323.546977,4263817,dbt7,5,1361977,191,11982540,1430945377,10428898200,714476871,301436495,18598,34231,0,1042,35673005986,0,,,0,0,167235910.922,88344995.01,0,17577,0,0,0,
1719458323.546977,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458323.546977,4,template0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458323.546977,4212858,dbt5,0,2697240,4989,1084972869,5879149424,60728844272,7852534397,5855372998,496185,28025,0,349,282114736128,0,,,0,0,703597467.385,602790187.119,1558322.915,10072,180,0,0,
1719458383.559640,0,,0,0,0,221,39112976,17425264,8415873,4,0,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
1719458383.559640,5,postgres,0,1405637,0,617,51352672,614973927,9860988,0,0,0,0,0,0,0,,,0,0,136361.865,71374.839,0,13,0,0,0,
1719458383.559640,4263817,dbt7,6,1362124,191,11982540,1430958819,10428970536,714482384,301436495,18598,34231,0,1042,35673005986,0,,,0,0,167236023.433,88345043.316,0,17595,0,0,0,
1719458383.559640,1,template1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,
