ctime,checkpoints_timed,checkpoints_req,checkpoint_write_time,checkpoint_sync_time,buffers_checkpoint,buffers_clean,maxwritten_clean,buffers_backend,buffers_backend_fsync,buffers_alloc,stats_reset
1719461984.191913,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719462044.201780,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719462104.212951,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719462164.220760,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719462224.229062,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719462284.239444,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719462344.250934,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719462404.265805,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719462464.275439,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719462524.289258,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719462584.297100,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719462644.308513,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719462704.313264,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719462764.328891,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719462824.342013,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719462884.348631,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719462944.367315,418,8,36427526,1451,25475268,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719463004.378238,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719463064.389268,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719463124.395222,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719463184.409946,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719463244.420894,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719463304.432727,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719463364.441632,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719463424.454167,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
1719463484.463800,419,8,36427812,1452,25475270,3713719,34646,507663567,0,756466048,2024-06-13 18:53:49.178489+00
