ctime,wal_records,wal_fpi,wal_bytes,wal_buffers_full,wal_write,wal_sync,wal_write_time,wal_sync_time,stats_reset
1719459523.766720,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719459583.776056,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719459643.787171,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719459703.796978,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719459763.806727,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719459823.818041,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719459883.833472,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719459943.837544,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460003.849730,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460063.859234,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460123.869600,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460183.878925,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460243.888799,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460303.894709,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460363.906493,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460423.919995,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460483.930668,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460543.941215,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460603.952005,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460663.961157,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460723.967813,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460783.976558,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460843.985983,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460904.000045,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719460964.009221,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719461024.022520,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719461084.028423,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719461144.047210,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719461204.060509,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719461264.066544,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719461324.079143,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719461384.092921,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719461444.102974,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719461504.114237,392418721,81032903,1604020040387,17806174,19418078,1598360,0,0,2024-06-13 18:53:49.178489+00
1719461564.120872,392418738,81032904,1604020041642,17806174,19418088,1598370,0,0,2024-06-13 18:53:49.178489+00
1719461624.131138,392418739,81032904,1604020041692,17806174,19418088,1598370,0,0,2024-06-13 18:53:49.178489+00
1719461684.142652,392418760,81032904,1604020042937,17806174,19418099,1598381,0,0,2024-06-13 18:53:49.178489+00
1719461744.148622,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719461804.158978,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719461864.168674,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719461924.182005,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719461984.187870,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719462044.203387,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719462104.215882,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719462164.225517,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719462224.236288,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719462284.240975,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719462344.254152,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719462404.266874,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719462464.279311,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719462524.288372,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719462584.302894,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719462644.305967,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719462704.316590,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719462764.329628,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719462824.345796,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719462884.355821,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719462944.370600,392418761,81032904,1604020042987,17806174,19418100,1598382,0,0,2024-06-13 18:53:49.178489+00
1719463004.383365,392418764,81032904,1604020043201,17806174,19418102,1598384,0,0,2024-06-13 18:53:49.178489+00
1719463064.392662,392418764,81032904,1604020043201,17806174,19418102,1598384,0,0,2024-06-13 18:53:49.178489+00
1719463124.402803,392418764,81032904,1604020043201,17806174,19418102,1598384,0,0,2024-06-13 18:53:49.178489+00
1719463184.412936,392418764,81032904,1604020043201,17806174,19418102,1598384,0,0,2024-06-13 18:53:49.178489+00
1719463244.421397,392418764,81032904,1604020043201,17806174,19418102,1598384,0,0,2024-06-13 18:53:49.178489+00
1719463304.429915,392418764,81032904,1604020043201,17806174,19418102,1598384,0,0,2024-06-13 18:53:49.178489+00
1719463364.441095,392418764,81032904,1604020043201,17806174,19418102,1598384,0,0,2024-06-13 18:53:49.178489+00
1719463424.452552,392418764,81032904,1604020043201,17806174,19418102,1598384,0,0,2024-06-13 18:53:49.178489+00
1719463484.466132,392418764,81032904,1604020043201,17806174,19418102,1598384,0,0,2024-06-13 18:53:49.178489+00
1719463544.470824,392418764,81032904,1604020043201,17806174,19418102,1598384,0,0,2024-06-13 18:53:49.178489+00
1719463604.483149,392418764,81032904,1604020043201,17806174,19418102,1598384,0,0,2024-06-13 18:53:49.178489+00
1719463664.491695,392418764,81032904,1604020043201,17806174,19418102,1598384,0,0,2024-06-13 18:53:49.178489+00
1719463724.503768,392418764,81032904,1604020043201,17806174,19418102,1598384,0,0,2024-06-13 18:53:49.178489+00
1719463784.510619,392418764,81032904,1604020043201,17806174,19418102,1598384,0,0,2024-06-13 18:53:49.178489+00
1719463844.527717,392418819,81032905,1604020048275,17806174,19418131,1598413,0,0,2024-06-13 18:53:49.178489+00
1719463904.531967,392419009,81032909,1604020080836,17806174,19418218,1598500,0,0,2024-06-13 18:53:49.178489+00
1719463964.548490,392419048,81032909,1604020083245,17806174,19418238,1598520,0,0,2024-06-13 18:53:49.178489+00
1719464024.561621,392419048,81032909,1604020083245,17806174,19418238,1598520,0,0,2024-06-13 18:53:49.178489+00
1719464084.568105,392419048,81032909,1604020083245,17806174,19418238,1598520,0,0,2024-06-13 18:53:49.178489+00
1719464144.574710,392419048,81032909,1604020083245,17806174,19418238,1598520,0,0,2024-06-13 18:53:49.178489+00
1719464204.593062,392419048,81032909,1604020083245,17806174,19418238,1598520,0,0,2024-06-13 18:53:49.178489+00
1719464264.606410,392419048,81032909,1604020083245,17806174,19418238,1598520,0,0,2024-06-13 18:53:49.178489+00
1719464324.606204,392419048,81032909,1604020083245,17806174,19418238,1598520,0,0,2024-06-13 18:53:49.178489+00
1719464384.623360,392419048,81032909,1604020083245,17806174,19418238,1598520,0,0,2024-06-13 18:53:49.178489+00
1719464444.634698,392419048,81032909,1604020083245,17806174,19418238,1598520,0,0,2024-06-13 18:53:49.178489+00
1719464504.641750,392419048,81032909,1604020083245,17806174,19418238,1598520,0,0,2024-06-13 18:53:49.178489+00
1719464564.651100,392419048,81032909,1604020083245,17806174,19418238,1598520,0,0,2024-06-13 18:53:49.178489+00
1719464624.663688,392419048,81032909,1604020083245,17806174,19418238,1598520,0,0,2024-06-13 18:53:49.178489+00
1719464684.674073,392419048,81032909,1604020083245,17806174,19418238,1598520,0,0,2024-06-13 18:53:49.178489+00
1719464744.683603,392419069,81032909,1604020084506,17806174,19418249,1598531,0,0,2024-06-13 18:53:49.178489+00
1719464804.695317,392419073,81032909,1604020084770,17806174,19418252,1598534,0,0,2024-06-13 18:53:49.178489+00
