ctime,name,blks_zeroed,blks_hit,blks_read,blks_written,blks_exists,flushes,truncates,stats_reset
1719458203.532545,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458203.532545,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458263.538499,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458263.538499,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458263.538499,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458263.538499,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458263.538499,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458263.538499,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458263.538499,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458263.538499,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458323.549148,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458323.549148,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458323.549148,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458323.549148,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458323.549148,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458323.549148,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458323.549148,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458323.549148,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458383.562908,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458383.562908,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458383.562908,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458383.562908,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458383.562908,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458383.562908,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458383.562908,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458383.562908,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458443.577084,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458443.577084,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458443.577084,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458443.577084,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458443.577084,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458443.577084,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458443.577084,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458443.577084,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458503.586177,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458503.586177,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458503.586177,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458503.586177,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458503.586177,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458503.586177,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458503.586177,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458503.586177,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458563.597283,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719458563.597283,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719458563.597283,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719458563.597283,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458563.597283,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719458563.597283,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719458563.597283,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719458563.597283,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
