Time,UID,PID,%usr,%system,%guest,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,kB_rd/s,kB_wr/s,kB_ccwr/s,cswch/s,nvcswch/s,Command
1707240426,1002,27663,0.00,0.00,0.00,0.00,1,4.57,0.00,105940,640,0.02,0.00,0.00,0.00,0.03,0.00,sleep 3600
1707240426,0,27674,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,41.64,0.00,kworker/2:2
1707240426,1002,27734,0.00,0.00,0.00,0.00,1,4.37,0.07,105940,632,0.02,17.46,0.00,0.00,0.12,0.00,sleep 60
1707240426,0,31060,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.18,0.00,kworker/u8:0
1707240486,0,1,0.02,0.03,0.00,0.05,3,6.97,0.02,17576,3516,0.09,-1.00,-1.00,-1.00,1.45,0.00,/usr/lib/systemd/systemd --system --deserialize 29
1707240486,0,2,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.02,0.00,kthreadd
1707240486,0,6,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,2.55,0.00,ksoftirqd/0
1707240486,0,7,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.17,0.00,migration/0
1707240486,0,9,0.00,0.02,0.00,0.02,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,52.12,0.00,rcu_sched
1707240486,0,11,0.00,0.00,0.00,0.00,1,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.15,0.00,migration/1
1707240486,0,12,0.00,0.00,0.00,0.00,1,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,1.28,0.00,ksoftirqd/1
1707240486,0,15,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.07,0.00,migration/2
1707240486,0,16,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,1.35,0.00,ksoftirqd/2
1707240486,0,19,0.00,0.00,0.00,0.00,3,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.28,0.00,migration/3
1707240486,0,20,0.00,0.02,0.00,0.02,3,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,1.23,0.00,ksoftirqd/3
1707240486,0,42,0.00,3.47,0.00,3.47,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,11.33,48.55,kswapd0
1707240486,0,44,0.00,0.00,0.00,0.00,3,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.03,0.00,khugepaged
1707240486,0,111,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.43,0.00,kauditd
1707240486,0,347,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.63,0.00,kworker/2:1H
1707240486,0,375,0.00,0.00,0.00,0.00,1,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,4.60,0.00,xfsaild/vda3
1707240486,0,474,0.00,0.02,0.00,0.02,1,1.70,0.03,12756,6320,0.16,-1.00,-1.00,-1.00,0.13,0.00,/usr/lib/systemd/systemd-journald
1707240486,0,587,0.00,0.00,0.00,0.00,1,0.20,0.00,14256,460,0.01,-1.00,-1.00,-1.00,0.42,0.00,/sbin/auditd
1707240486,0,612,0.00,0.00,0.00,0.00,1,1.63,0.00,3892,1104,0.03,-1.00,-1.00,-1.00,0.23,0.00,/usr/lib/systemd/systemd-logind
