ctime,relid,schemaname,relname,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1719457505.906756,2602,pg_catalog,pg_amop,8,135097,9,184391,,,,,2602,pg_catalog,pg_amop,0,0,82419,165082,0,0,0,0,945,0,0,0,,,2024-06-26 23:46:02.991741+00,,0,0,18,0
1719457505.906756,2603,pg_catalog,pg_amproc,6,719846,4,2114682,,,,,2603,pg_catalog,pg_amproc,282,987,718588,2121017,0,0,0,0,696,0,0,0,,,2024-06-26 23:46:02.992447+00,,0,0,18,0
1719457505.906756,2612,pg_catalog,pg_language,5,31,0,0,0,0,0,0,2612,pg_catalog,pg_language,0,0,0,0,0,0,0,0,4,0,0,0,,,2024-06-26 23:46:02.992667+00,,0,0,18,0
1719457505.906756,2995,pg_catalog,pg_largeobject_metadata,0,0,0,0,,,,,2995,pg_catalog,pg_largeobject_metadata,0,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:02.992781+00,,0,0,18,0
1719457505.906756,2600,pg_catalog,pg_aggregate,3,3954,2,7565,0,0,0,0,2600,pg_catalog,pg_aggregate,0,0,3903,3903,0,0,0,0,148,0,0,0,,,2024-06-26 23:46:02.993362+00,,0,0,18,0
1719457505.906756,3381,pg_catalog,pg_statistic_ext,0,0,3,41897,0,0,0,0,3381,pg_catalog,pg_statistic_ext,80,0,20830,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:02.993493+00,,0,0,18,0
1719457505.906756,2618,pg_catalog,pg_rewrite,29,12295,2,21771,15,9159,2,13763,2618,pg_catalog,pg_rewrite,0,0,12026,12054,0,0,0,0,142,0,0,0,,,2024-06-26 23:46:02.993805+00,,0,0,18,0
1719457505.906756,2620,pg_catalog,pg_trigger,0,0,0,0,0,0,0,0,2620,pg_catalog,pg_trigger,0,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:02.993971+00,,0,0,18,0
1719457505.906756,3466,pg_catalog,pg_event_trigger,0,0,1,2453,0,0,0,0,3466,pg_catalog,pg_event_trigger,0,0,2454,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:02.994027+00,,0,0,18,0
1719457505.906756,2609,pg_catalog,pg_description,120,690,3,7507,0,0,0,0,2609,pg_catalog,pg_description,0,0,3745,0,0,0,0,0,5136,0,0,0,,,2024-06-26 23:46:02.997661+00,,0,0,18,0
1719457505.906756,2605,pg_catalog,pg_cast,3,76116,2,341694,,,,,2605,pg_catalog,pg_cast,0,0,328659,76059,0,0,0,0,229,0,0,0,,,2024-06-26 23:46:02.998042+00,,0,0,18,0
1719457505.906756,3501,pg_catalog,pg_enum,0,0,0,0,,,,,3501,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,,,2024-06-26 23:46:02.998172+00,,0,0,18,0
1719457505.906756,2615,pg_catalog,pg_namespace,2,49693,4,92252,0,0,0,0,2615,pg_catalog,pg_namespace,1235,4291,65382,41355,0,0,0,0,4,0,0,0,,,2024-06-26 23:46:02.998281+00,,0,0,18,0
1719457505.906756,2607,pg_catalog,pg_conversion,5,49,0,0,,,,,2607,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,128,0,0,0,,,2024-06-26 23:46:02.998656+00,,0,0,18,0
1719457505.906756,2608,pg_catalog,pg_depend,50,24424,62,43289,,,,,2608,pg_catalog,pg_depend,0,0,11235,11634,4236,0,4115,0,1952,219,340,222,,2024-06-26 23:45:29.552101+00,2024-06-26 23:46:03.000905+00,2024-06-26 23:45:29.554043+00,0,7,18,18
1719457505.906756,1262,pg_catalog,pg_database,19,9660997,40,10084274,0,0,1,0,1262,pg_catalog,pg_database,1810287,8947337,7850666,7850651,4,0,3,0,5,0,0,1,2024-06-14 00:25:46.827581+00,,2024-06-26 23:46:03.001233+00,,1,0,19,0
1719457505.906756,2964,pg_catalog,pg_db_role_setting,0,0,5,17640212,0,0,1,0,2964,pg_catalog,pg_db_role_setting,3,0,8820068,0,0,0,0,0,0,0,0,0,2024-06-14 00:25:46.863801+00,,2024-06-26 23:46:03.001331+00,,1,0,19,0
1719457505.906756,1213,pg_catalog,pg_tablespace,16,135109,25,269522,0,0,1,0,1213,pg_catalog,pg_tablespace,7,14,135073,135073,0,0,0,0,2,0,0,0,2024-06-14 00:25:46.828086+00,,2024-06-26 23:46:03.001464+00,,1,0,19,0
1719457505.906756,1261,pg_catalog,pg_auth_members,10,35,2,0,,,,,1261,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,3,0,0,0,2024-06-14 00:25:46.828438+00,,2024-06-26 23:46:03.001614+00,,1,0,19,0
