# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
sodium;60;1682722054;enp1s0;4027.62;3317.95;8131.75;7688.52;0.00;0.00;0.00;0.00
sodium;60;1682722114;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682722114;enp1s0;4102.62;3366.67;8268.12;7817.67;0.00;0.00;0.00;0.00
sodium;60;1682722174;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682722174;enp1s0;3758.38;3061.45;7458.03;7048.12;0.00;0.00;0.00;0.00
sodium;60;1682722234;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682722234;enp1s0;3933.68;3241.17;7945.32;7510.98;0.00;0.00;0.00;0.00
sodium;60;1682722294;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682722294;enp1s0;3866.60;3184.12;7804.93;7378.43;0.00;0.00;0.00;0.00
sodium;60;1682722354;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682722354;enp1s0;3518.52;2867.63;6958.50;6577.37;0.00;0.00;0.00;0.00
sodium;60;1682722414;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682722414;enp1s0;3609.63;2945.85;7163.81;6771.68;0.00;0.00;0.00;0.00
sodium;60;1682722474;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682722474;enp1s0;3498.47;2845.25;6937.42;6553.54;0.00;0.00;0.00;0.00
sodium;60;1682722534;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682722534;enp1s0;3729.55;3049.60;7453.25;7045.47;0.00;0.00;0.00;0.00
sodium;60;1682722594;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682722594;enp1s0;3819.83;3138.93;7696.24;7274.32;0.00;0.00;0.00;0.00
sodium;60;1682722654;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682722654;enp1s0;3828.93;3146.27;7689.80;7267.79;0.00;0.00;0.00;0.00
sodium;60;1682722714;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682722714;enp1s0;3943.00;3250.00;7987.26;7551.37;0.00;0.00;0.00;0.00
sodium;60;1682722774;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682722774;enp1s0;3809.28;3115.03;7604.02;7187.18;0.00;0.00;0.00;0.00
sodium;60;1682722834;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682722834;enp1s0;4140.33;3409.97;8368.29;7910.57;0.00;0.00;0.00;0.00
sodium;60;1682722894;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682722894;enp1s0;3787.85;3103.68;7578.34;7165.37;0.00;0.00;0.00;0.00
sodium;60;1682722954;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682722954;enp1s0;4138.10;3425.70;8419.99;7962.39;0.00;0.00;0.00;0.00
sodium;60;1682723014;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682723014;enp1s0;4391.95;3688.13;9122.72;8630.38;0.00;0.00;0.00;0.00
sodium;60;1682723074;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682723074;enp1s0;4647.68;3886.68;9630.22;9107.69;0.00;0.00;0.00;0.00
sodium;60;1682723134;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682723134;enp1s0;4185.63;3479.77;8554.61;8090.35;0.00;0.00;0.00;0.00
sodium;60;1682723194;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682723194;enp1s0;4227.35;3518.83;8682.86;8211.71;0.00;0.00;0.00;0.00
sodium;60;1682723254;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sodium;60;1682723254;enp1s0;4095.47;3394.73;8343.62;7887.18;0.00;0.00;0.00;0.00
