ctime,relid,indexrelid,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,relid,indexrelid,schemaname,relname,indexrelname,idx_blks_read,idx_blks_hit
1683036397.593887,22511,22512,pg_toast,pg_toast_22508,pg_toast_22508_index,0,0,0,22511,22512,pg_toast,pg_toast_22508,pg_toast_22508_index,0,0
1683036397.593887,3429,3433,pg_catalog,pg_statistic_ext_data,pg_statistic_ext_data_stxoid_index,0,0,0,3429,3433,pg_catalog,pg_statistic_ext_data,pg_statistic_ext_data_stxoid_index,0,0
1683036397.593887,22516,22546,public,new_order,pk_new_order,12820,19230,12816,22516,22546,public,new_order,pk_new_order,352,242978
1683036397.593887,1418,174,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,1418,174,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0
1683036397.593887,1418,175,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,1418,175,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0
1683036397.593887,6100,6114,pg_catalog,pg_subscription,pg_subscription_oid_index,0,0,0,6100,6114,pg_catalog,pg_subscription,pg_subscription_oid_index,0,0
1683036397.593887,6100,6115,pg_catalog,pg_subscription,pg_subscription_subname_index,0,0,0,6100,6115,pg_catalog,pg_subscription,pg_subscription_subname_index,0,0
1683036397.593887,1249,2659,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,2257,4199,4199,1249,2659,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,33,4559
1683036397.593887,1249,2658,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,0,0,0,1249,2658,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,0,0
1683036397.593887,1255,2690,pg_catalog,pg_proc,pg_proc_oid_index,494,494,494,1255,2690,pg_catalog,pg_proc,pg_proc_oid_index,40,1018
1683036397.593887,1255,2691,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,62,202,202,1255,2691,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,30,126
1683036397.593887,1259,2662,pg_catalog,pg_class,pg_class_oid_index,2460,2456,2204,1259,2662,pg_catalog,pg_class,pg_class_oid_index,16,4980
1683036397.593887,1259,3455,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,52,28,28,1259,3455,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,20,204
1683036397.593887,1259,2663,pg_catalog,pg_class,pg_class_relname_nsp_index,153,101,101,1259,2663,pg_catalog,pg_class,pg_class_relname_nsp_index,23,352
1683036397.593887,2604,2657,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,2604,2657,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0
1683036397.593887,2604,2656,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,2604,2656,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0
1683036397.593887,2606,2667,pg_catalog,pg_constraint,pg_constraint_oid_index,0,0,0,2606,2667,pg_catalog,pg_constraint,pg_constraint_oid_index,0,0
1683036397.593887,2606,2579,pg_catalog,pg_constraint,pg_constraint_conparentid_index,0,0,0,2606,2579,pg_catalog,pg_constraint,pg_constraint_conparentid_index,0,0
1683036397.593887,2606,2666,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,2606,2666,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0
1683036397.593887,2606,2665,pg_catalog,pg_constraint,pg_constraint_conrelid_contypid_conname_index,8,8,8,2606,2665,pg_catalog,pg_constraint,pg_constraint_conrelid_contypid_conname_index,8,4
1683036397.593887,2606,2664,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,2606,2664,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0
1683036397.593887,2611,2680,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,0,0,0,2611,2680,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,0,0
1683036397.593887,2611,2187,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,2611,2187,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0
1683036397.593887,2610,2679,pg_catalog,pg_index,pg_index_indexrelid_index,504,504,412,2610,2679,pg_catalog,pg_index,pg_index_indexrelid_index,8,572
1683036397.593887,2610,2678,pg_catalog,pg_index,pg_index_indrelid_index,225,321,257,2610,2678,pg_catalog,pg_index,pg_index_indrelid_index,8,284
1683036397.593887,2617,2688,pg_catalog,pg_operator,pg_operator_oid_index,172,172,172,2617,2688,pg_catalog,pg_operator,pg_operator_oid_index,17,390
1683036397.593887,2617,2689,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,128,821,821,2617,2689,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,16,299
1683036397.593887,2753,2755,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,2753,2755,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0
1683036397.593887,2753,2754,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,2753,2754,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0
1683036397.593887,2616,2687,pg_catalog,pg_opclass,pg_opclass_oid_index,271,271,271,2616,2687,pg_catalog,pg_opclass,pg_opclass_oid_index,8,339
1683036397.593887,2616,2686,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,106,4553,4553,2616,2686,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,9,129
1683036397.593887,2601,2652,pg_catalog,pg_am,pg_am_oid_index,0,0,0,2601,2652,pg_catalog,pg_am,pg_am_oid_index,0,0
1683036397.593887,2601,2651,pg_catalog,pg_am,pg_am_name_index,0,0,0,2601,2651,pg_catalog,pg_am,pg_am_name_index,0,0
1683036397.593887,2602,2756,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,2602,2756,pg_catalog,pg_amop,pg_amop_oid_index,0,0
1683036397.593887,2602,2654,pg_catalog,pg_amop,pg_amop_opr_fam_index,178,649,649,2602,2654,pg_catalog,pg_amop,pg_amop_opr_fam_index,23,398
1683036397.593887,2602,2653,pg_catalog,pg_amop,pg_amop_fam_strat_index,301,301,301,2602,2653,pg_catalog,pg_amop,pg_amop_fam_strat_index,13,654
1683036397.593887,2603,2757,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,2603,2757,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0
1683036397.593887,2603,2655,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,249,635,635,2603,2655,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,12,562
1683036397.593887,2612,2682,pg_catalog,pg_language,pg_language_oid_index,1,1,1,2612,2682,pg_catalog,pg_language,pg_language_oid_index,2,0
1683036397.593887,2612,2681,pg_catalog,pg_language,pg_language_name_index,0,0,0,2612,2681,pg_catalog,pg_language,pg_language_name_index,0,0
1683036397.593887,2995,2996,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,2995,2996,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0
1683036397.593887,2600,2650,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,9,9,9,2600,2650,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,8,9
1683036397.593887,3381,3380,pg_catalog,pg_statistic_ext,pg_statistic_ext_oid_index,0,0,0,3381,3380,pg_catalog,pg_statistic_ext,pg_statistic_ext_oid_index,0,0
1683036397.593887,3381,3379,pg_catalog,pg_statistic_ext,pg_statistic_ext_relid_index,129,0,0,3381,3379,pg_catalog,pg_statistic_ext,pg_statistic_ext_relid_index,4,254
1683036397.593887,3381,3997,pg_catalog,pg_statistic_ext,pg_statistic_ext_name_index,0,0,0,3381,3997,pg_catalog,pg_statistic_ext,pg_statistic_ext_name_index,0,0
1683036397.593887,2618,2692,pg_catalog,pg_rewrite,pg_rewrite_oid_index,0,0,0,2618,2692,pg_catalog,pg_rewrite,pg_rewrite_oid_index,0,0
1683036397.593887,2618,2693,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,35,39,39,2618,2693,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,8,54
1683036397.593887,2620,2702,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,2620,2702,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0
1683036397.593887,2620,2701,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,2620,2701,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0
1683036397.593887,2620,2699,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,2620,2699,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0
1683036397.593887,3466,3468,pg_catalog,pg_event_trigger,pg_event_trigger_oid_index,0,0,0,3466,3468,pg_catalog,pg_event_trigger,pg_event_trigger_oid_index,0,0
1683036397.593887,3466,3467,pg_catalog,pg_event_trigger,pg_event_trigger_evtname_index,0,0,0,3466,3467,pg_catalog,pg_event_trigger,pg_event_trigger_evtname_index,0,0
