ctime,datname,nspname,relname,locktype,database,relation,page,tuple,virtualxid,transactionid,classid,objid,objsubid,virtualtransaction,pid,mode,granted,fastpath,waitstart
1683036457.642997,dbt2,public,pk_district,relation,22501,22541,,,,,,,,5/4735,3917,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,pk_district,relation,22501,22541,,,,,,,,4/4771,3914,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,pk_district,relation,22501,22541,,,,,,,,6/4724,3916,AccessShareLock,t,t,
1683036457.642997,dbt2,public,pk_district,relation,22501,22541,,,,,,,,5/4735,3917,AccessShareLock,t,t,
1683036457.642997,dbt2,public,pk_district,relation,22501,22541,,,,,,,,4/4771,3914,AccessShareLock,t,t,
1683036457.642997,dbt2,public,pk_district,relation,22501,22541,,,,,,,,3/21650,3913,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,pk_district,relation,22501,22541,,,,,,,,6/4724,3916,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,pk_item,relation,22501,22563,,,,,,,,6/4724,3916,AccessShareLock,t,t,
1683036457.642997,dbt2,public,pk_item,relation,22501,22563,,,,,,,,4/4771,3914,AccessShareLock,t,t,
1683036457.642997,dbt2,public,pk_orders,relation,22501,22548,,,,,,,,5/4735,3917,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,pk_stock,relation,22501,22565,,,,,,,,4/4771,3914,AccessShareLock,t,t,
1683036457.642997,dbt2,public,pk_stock,relation,22501,22565,,,,,,,,4/4771,3914,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,pk_stock,relation,22501,22565,,,,,,,,6/4724,3916,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,pk_stock,relation,22501,22565,,,,,,,,6/4724,3916,AccessShareLock,t,t,
1683036457.642997,dbt2,public,pk_warehouse,relation,22501,22539,,,,,,,,5/4735,3917,AccessShareLock,t,t,
1683036457.642997,dbt2,public,pk_warehouse,relation,22501,22539,,,,,,,,3/21650,3913,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,pk_warehouse,relation,22501,22539,,,,,,,,6/4724,3916,AccessShareLock,t,t,
1683036457.642997,dbt2,public,pk_warehouse,relation,22501,22539,,,,,,,,4/4771,3914,AccessShareLock,t,t,
1683036457.642997,dbt2,public,stock,relation,22501,22528,,,,,,,,6/4724,3916,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,stock,relation,22501,22528,,,,,,,,4/4771,3914,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,stock,relation,22501,22528,,,,,,,,4/4771,3914,AccessShareLock,t,t,
1683036457.642997,dbt2,public,stock,relation,22501,22528,,,,,,,,6/4724,3916,AccessShareLock,t,t,
1683036457.642997,dbt2,public,warehouse,relation,22501,22502,,,,,,,,6/4724,3916,AccessShareLock,t,t,
1683036457.642997,dbt2,public,warehouse,relation,22501,22502,,,,,,,,3/21650,3913,RowExclusiveLock,t,t,
1683036457.642997,dbt2,public,warehouse,relation,22501,22502,,,,,,,,5/4735,3917,AccessShareLock,t,t,
1683036457.642997,dbt2,public,warehouse,relation,22501,22502,,,,,,,,4/4771,3914,AccessShareLock,t,t,
1683036517.663679,dbt2,public,customer,relation,22501,22508,,,,,,,,5/11226,3917,RowExclusiveLock,t,t,
1683036517.663679,dbt2,public,customer,relation,22501,22508,,,,,,,,3/28146,3913,AccessShareLock,t,t,
1683036517.663679,dbt2,public,customer,relation,22501,22508,,,,,,,,3/28146,3913,RowExclusiveLock,t,t,
1683036517.663679,dbt2,public,customer,relation,22501,22508,,,,,,,,6/11226,3916,AccessShareLock,t,t,
1683036517.663679,dbt2,public,customer,relation,22501,22508,,,,,,,,5/11226,3917,AccessShareLock,t,t,
1683036517.663679,dbt2,public,district,relation,22501,22505,,,,,,,,6/11226,3916,AccessShareLock,t,t,
1683036517.663679,dbt2,public,district,relation,22501,22505,,,,,,,,6/11226,3916,RowExclusiveLock,t,t,
1683036517.663679,dbt2,public,district,relation,22501,22505,,,,,,,,5/11226,3917,RowExclusiveLock,t,t,
1683036517.663679,dbt2,public,district,relation,22501,22505,,,,,,,,3/28146,3913,RowExclusiveLock,t,t,
1683036517.663679,dbt2,public,history,relation,22501,22513,,,,,,,,3/28146,3913,RowExclusiveLock,t,t,
1683036517.663679,dbt2,public,history,relation,22501,22513,,,,,,,,5/11226,3917,RowExclusiveLock,t,t,
